ANO,CODMUNRES,SUICIDES
2015,240145,1
2015,240170,1
2015,240200,11
2015,240230,1
2015,240250,1
2015,240270,2
2015,240325,7
2015,240380,1
2015,240400,2
2015,240420,1
2015,240440,1
2015,240470,1
2015,240480,1
2015,240500,1
2015,240560,2
2015,240570,6
2015,240580,1
2015,240600,3
2015,240610,2
2015,240630,1
2015,240660,1
2015,240690,2
2015,240710,1
2015,240720,1
2015,240750,1
2015,240770,1
2015,240780,1
2015,240790,2
2015,240800,20
2015,240810,22
2015,240820,4
2015,240830,3
2015,240840,2
2015,240890,2
2015,240920,1
2015,240940,2
2015,240950,1
2015,240980,1
2015,240990,2
2015,241025,1
2015,241030,1
2015,241040,1
2015,241060,2
2015,241100,1
2015,241120,2
2015,241180,1
2015,241200,1
2015,241210,1
2015,241230,1
2015,241240,1
2015,241250,5
2015,241255,1
2015,241260,2
2015,241280,1
2015,241300,2
2015,241340,1
2015,241360,3
2015,241450,1
2015,250000,1
2015,250010,1
2015,250020,3
2015,250030,1
2015,250040,1
2015,250050,3
2015,250070,3
2015,250090,1
2015,250110,2
2015,250120,2
2015,250130,2
2015,250150,2
2015,250153,2
2015,250157,1
2015,250160,1
2015,250180,4
2015,250190,1
2015,250230,1
2015,250240,1
2015,250250,2
2015,250260,1
2015,250300,2
2015,250320,3
2015,250330,1
2015,250350,1
2015,250355,1
2015,250370,9
2015,250390,2
2015,250400,20
2015,250410,1
2015,250420,1
2015,250430,5
2015,250440,1
2015,250450,1
2015,250460,3
2015,250480,1
2015,250510,1
2015,250530,3
2015,250540,1
2015,250550,2
2015,250570,1
2015,250590,1
2015,250600,4
2015,250610,1
2015,250630,3
2015,250650,1
2015,250670,1
2015,250690,3
2015,250700,3
2015,250720,1
2015,250730,1
2015,250740,1
2015,250750,22
2015,250830,1
2015,250890,2
2015,250910,2
2015,250915,2
2015,250920,1
2015,250970,3
2015,250990,1
2015,251000,1
2015,251080,13
2015,251090,1
2015,251120,3
2015,251130,1
2015,251140,1
2015,251150,1
2015,251160,1
2015,251180,1
2015,251200,3
2015,251210,1
2015,251230,2
2015,251240,1
2015,251250,2
2015,251310,2
2015,251340,1
2015,251350,1
2015,251370,5
2015,251380,1
2015,251385,1
2015,251390,2
2015,251400,1
2015,251410,1
2015,251420,1
2015,251450,1
2015,251460,1
2015,251480,1
2015,251490,2
2015,251530,2
2015,251540,1
2015,251550,2
2015,251590,2
2015,251600,2
2015,251610,1
2015,251620,1
2015,251630,1
