,MUNCOD,RATE_15,RATE_14,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
62,150330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,150345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,150405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,150420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,150430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,150442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,150470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,150480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,150490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,150495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,150530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,150540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,150553,1.0530694341331395,0.0,2.2652365473264546,0.0,0.0,0.0,0.0,0.0
75,150618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,150620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,150635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,150650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,150680,0.0,0.34420919658131427,0.0,0.0,0.0,0.0,0.0,0.0
80,150710,0.0,0.0,0.0,5.852402411189794,0.0,0.0,0.0,0.0
81,150720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,150730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,150747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,150760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,150795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,150820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,160030,0.2192160395991854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,160050,0.0,0.0,0.0,0.0,0.0,4.895721139723881,0.0,0.0
89,170210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,170950,0.0,0.0,0.0,1.2734797835084368,0.0,0.0,0.0,0.0
91,171330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,171889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,210005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,210020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,210140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,210190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,210270,4.658963846440551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,210300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,210340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,210360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,210407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,210540,0.0,1.5217689041742122,0.0,0.0,0.0,0.0,0.0,0.0
103,210630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,210663,6.184674376894057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,210820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,210825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,210840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,210860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,210980,0.0,0.0,2.434215330688153,0.0,0.0,0.0,0.0,0.0
110,211120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,211130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,211220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,211223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,211245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,211250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,211270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,211280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,211300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,220070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,220250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,220620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,220700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,220955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,221060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,221100,0.0,0.118962645729241,0.0,0.0,0.0,0.0,0.0,0.0
126,221135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,230030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,230190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,230200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,230250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,230340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,230370,0.0,0.0,0.0,0.0,0.0,0.0,0.29907525929824985,0.0
133,230423,0.0,0.0,0.0,0.0,0.0,0.0,5.48065329387263,0.0
134,230440,0.0,0.038881821037864674,0.0,0.0,0.0,0.0,0.0,0.0
135,230500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,230530,0.0,0.0,0.0,0.0,0.0,4.199916001679966,0.0,0.0
137,230550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,230600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,230765,0.0,0.4550646419323865,0.0,0.0,0.0,0.0,0.0,0.0
140,230810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,230930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,230970,1.2441215257906393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,231050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,231080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,231140,0.0,0.0,0.0,0.0,1.372382180989762,0.0,0.0,0.0
146,231230,0.0,0.0,2.1904365540052133,0.0,0.0,0.0,0.0,0.0
147,231250,0.0,0.0,0.0,0.0,12.750223128904755,0.0,0.0,0.0
148,231290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,231300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,231330,1.7330722171192874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,231340,0.0,0.0,0.0,0.0,1.4342469486396168,1.451357745170607,1.4579809879279175,1.4779125962490578
152,231360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.237817710862878
153,231410,0.0,0.0,0.0,0.0,1.7957512525364987,0.0,0.0,0.0
154,240050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,240310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,240330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,240430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,240700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,240710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,240730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,240780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,240800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,240810,0.0,0.0,0.0,0.0,0.0,0.12440735446516657,0.0,0.0
164,240940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,241020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
