,MUNCOD,RATE_18,RATE_17,RATE_16,RATE_15,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
43,280290,0.0,1.0504643052229086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,280350,0.0,0.9606240213642783,0.0,0.9779281613972638,0.0,0.0,0.0,0.0,0.0,0.0
45,290910,0.0,0.0,0.0,6.677350427350428,0.0,0.0,0.0,0.0,0.0,0.0
46,291072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,291360,0.0,0.5670830946858644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,291560,1.5498829838347203,1.4846487321099828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,291700,0.0,2.6619107195144673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,291840,0.4647207260796624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,292630,0.0,0.0,2.880599164626242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,292740,0.0,0.0,0.06807138782584071,0.06846766289398433,0.0,0.03688719306166653,0.0,0.0,0.0,0.0
53,292960,0.0,0.0,5.530055853564121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,293090,0.0,0.0,0.0,7.677543186180422,0.0,0.0,0.0,0.0,0.0,0.0
55,293135,0.0,0.0,0.0,0.6336974981622773,0.0,0.0,0.0,0.0,0.0,0.0
56,310620,0.0,0.0,0.039785935751283794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,313510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,313670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,313930,0.0,5.162089613875697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,314110,0.0,0.0,2.699784017278618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,314500,0.0,0.0,0.0,6.904170118751726,0.0,0.0,0.0,0.0,0.0,0.0
62,315610,0.0,0.0,20.567667626491158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,316740,0.0,0.0,0.0,31.831927423205478,0.0,0.0,0.0,0.0,0.0,0.0
64,316935,0.0,3.1558683371729734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,320280,2.938410907381288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,320316,9.123255177447312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,320360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,330010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,330170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
