,COUNTS,MUNCOD
601,1,421970
602,3,430060
603,1,430066
604,2,430300
605,4,430310
606,3,430350
607,1,430410
608,1,430440
609,6,430460
610,9,430470
611,7,430490
612,15,430510
613,1,430512
614,1,430545
615,1,430587
616,1,430590
617,1,430600
618,3,430610
619,1,430660
620,4,430700
621,2,430705
622,1,430760
623,2,430783
624,4,430800
625,1,430830
626,2,430850
627,2,430860
628,1,430910
629,1,430920
630,1,430930
631,1,430940
632,2,431000
633,1,431033
634,2,431070
635,3,431127
636,2,431130
637,1,431140
638,1,431180
639,2,431240
640,1,431265
641,2,431340
642,2,431380
643,9,431410
644,5,431440
645,1,431460
646,24,431490
647,7,431560
648,1,431610
649,3,431710
650,1,431670
651,2,431680
652,3,431690
653,1,431720
654,1,431730
655,1,431760
656,1,431790
657,1,431810
658,1,432000
659,2,432045
660,1,432080
661,3,432090
662,1,432150
663,1,432195
664,1,432230
665,1,432240
666,3,432250
667,1,432290
668,3,432300
669,1,500200
670,8,500270
671,1,500295
672,1,500320
673,2,500370
674,1,500520
675,1,500830
676,2,510180
677,1,510250
678,2,510350
679,1,510562
680,2,510760
681,2,510792
682,2,510800
683,2,510805
684,1,510550
685,4,520025
686,5,520030
687,5,520110
688,2,520140
689,5,520549
690,1,520620
691,1,520800
692,5,520870
693,1,520880
694,1,520970
695,1,521180
696,12,521250
697,1,521308
698,1,521310
699,4,521523
700,1,521640
701,10,521760
702,1,521770
703,3,521880
704,1,522010
705,1,522040
706,7,522185
707,718,530010
