,QUANTIDADE,MUNCOD
750,1,270880
751,3,270890
752,1,270900
753,1,270915
754,1,270920
755,11,270930
756,3,270940
757,2,280020
758,154,280030
759,1,280040
760,1,280060
761,1,280067
762,3,280070
763,4,280120
764,7,280130
765,1,280160
766,1,280170
767,5,280210
768,1,280230
769,1,280240
770,1,280260
771,1,280270
772,2,280280
773,2,280290
774,1,280300
775,1,280330
776,1,280340
777,2,280430
778,1,280440
779,1,280460
780,12,280480
781,1,280490
782,1,280540
783,2,280550
784,3,280560
785,3,280570
786,1,280580
787,1,280600
788,1,280610
789,1,280620
790,1,280630
791,4,280670
792,4,280690
793,39,280740
794,1,280760
795,1,290140
796,1,290225
797,1,290350
798,1,290470
799,1,290490
800,1,290560
801,9,290570
802,2,290580
803,1,290630
804,8,290650
805,2,290750
806,2,290840
807,2,290860
808,1,290890
809,8,291005
810,1,291050
811,1,291060
812,2,291070
813,2,291072
814,1,291075
815,8,291080
816,1,291300
817,1,291360
818,11,291380
819,1,291460
820,22,291480
821,1,291510
822,1,291550
823,4,291560
824,1,291600
825,1,291610
826,1,291630
827,1,291685
828,2,291800
829,1,291835
830,3,291840
831,1,291880
832,19,291920
833,1,291930
834,1,291992
835,1,292010
836,1,292060
837,3,292100
838,1,292110
839,1,292210
840,2,292230
841,1,292240
842,1,292300
843,1,292330
844,14,292350
845,1,292465
846,1,292520
847,1,292550
848,1,292575
849,1,292670
850,2,292700
851,1,292730
852,550,292740
853,1,292750
854,2,292860
855,2,292900
856,1,292925
857,4,292950
858,1,292975
859,1,293010
860,5,293050
861,9,293070
862,1,293120
863,36,293135
864,2,293170
865,1,293190
866,9,293290
867,1,293305
868,3,293320
869,3,293330
870,1,293360
871,1,310030
872,1,310070
873,39,310110
874,1,310140
875,1,310150
876,3,310160
877,5,310350
878,1,310375
879,3,310400
880,3,310470
881,6,310500
882,4,310510
883,9,310540
884,1,310560
885,978,310620
886,1,310630
887,29,310670
888,1,310710
889,4,310730
890,5,310740
891,1,310790
892,8,310800
893,1,310820
894,1,310830
895,1,310900
896,1,310950
897,3,310970
898,14,311000
899,2,311050
900,1,311060
901,1,311115
902,10,311120
903,4,311140
904,3,311150
905,1,311260
906,1,311320
907,1,311330
908,4,311360
909,1,311430
910,1,311455
911,1,311535
912,1,311550
913,3,311590
914,1,311620
915,1,311650
916,1,311690
917,1,311520
918,9,311730
