,MUNCOD,OSTEOPOROSE,INSUFICIENCIA_RENAL,INSUFICIENCIA_CARDIACA,HIPERTENSAO_ESSENCIAL,ESCLEROSE_MULTIPLA,EPILEPSIA,ENXAQUECA,DPOC,DORSOPATIAS,DOENCA_DE_PARKINSON,DIABETES_MELLITUS,CANCER,ASMA,AIDS,RATE
1356,313900,12.004513697150129,110.44152601378117,69.62617944347075,28.81083287316031,0.0,14.405416436580156,0.0,86.43249861948092,14.405416436580156,0.0,62.42347122518067,151.2568725840916,12.004513697150129,0.0,2.400902739430026
1357,313910,0.0,214.04942595835766,19.45903872348706,0.0,0.0,0.0,0.0,136.2132710644094,19.45903872348706,0.0,38.91807744697412,136.2132710644094,0.0,0.0,19.45903872348706
1358,313925,0.0,30.26634382566586,438.86198547215497,0.0,0.0,136.19854721549635,0.0,45.39951573849879,15.13317191283293,0.0,181.59806295399517,105.9322033898305,0.0,0.0,30.26634382566586
1359,313930,10.259567046270648,25.64891761567662,169.2828562634657,0.0,0.0,41.03826818508259,0.0,35.90848466194727,0.0,10.259567046270648,30.77870113881194,117.98502103211246,20.519134092541297,5.129783523135324,20.519134092541297
1360,313940,7.97857183564142,41.03265515472731,103.72143386333846,1.1397959765202028,2.2795919530404056,15.95714367128284,3.419387929560609,54.71020687296974,3.419387929560609,3.419387929560609,27.35510343648487,66.10816663817177,29.634695389525273,0.0,6.838775859121218
1361,313960,0.0,81.85927323201766,249.13691853222764,142.3639534469872,0.0,24.913691853222765,3.5590988361746807,74.74107555966829,0.0,3.5590988361746807,209.98683133430615,81.85927323201766,35.5909883617468,3.5590988361746807,3.5590988361746807
1362,313990,6.895600606812854,117.2252103158185,199.97241759757276,0.0,0.0,20.68680182043856,0.0,68.95600606812854,6.895600606812854,6.895600606812854,55.16480485450283,117.2252103158185,82.74720728175424,0.0,13.791201213625708
1363,314000,10.110712299681513,123.01366631279173,197.1588898437895,25.27678074920378,5.055356149840756,60.66427379808907,6.740474866454341,119.64342887956457,8.425593583067927,0.0,79.20057968083852,72.46010481438417,57.2940363648619,0.0,3.3702374332271705
1364,314015,13.503477145364931,114.77955573560193,54.013908581459724,6.7517385726824655,0.0,0.0,0.0,20.2552157180474,20.2552157180474,0.0,0.0,27.006954290729862,0.0,60.765647154142194,6.7517385726824655
1365,314050,7.476076555023923,164.4736842105263,179.42583732057417,37.380382775119614,0.0,52.33253588516747,0.0,201.85406698564594,0.0,0.0,156.99760765550238,74.76076555023923,37.380382775119614,0.0,7.476076555023923
1366,314060,21.593608291945586,86.37443316778234,194.34247462751026,172.74886633556468,0.0,86.37443316778234,0.0,107.96804145972793,21.593608291945586,0.0,43.18721658389117,64.78082487583676,129.5616497516735,0.0,21.593608291945586
