"Município";"2015";"2016";"2017";"Total"
"170370 Brejinho de Nazaré";9;5;2;16
"170380 Buriti do Tocantins";19;8;1;28
"170382 Cachoeirinha";2;5;1;8
"170384 Campos Lindos";1;1;3;5
"170386 Cariri do Tocantins";-;-;2;2
"170388 Carmolândia";4;1;-;5
"170389 Carrasco Bonito";2;6;1;9
"170390 Caseara";1;-;1;2
"170410 Centenário";2;4;1;7
"170510 Chapada da Natividade";-;1;-;1
"170550 Colinas do Tocantins";36;51;46;133
"171670 Colméia";8;8;10;26
"170555 Combinado";2;-;-;2
"170600 Couto Magalhães";3;4;2;9
"170610 Cristalândia";1;4;4;9
"170625 Crixás do Tocantins";-;3;2;5
"170650 Darcinópolis";6;9;5;20
"170700 Dianópolis";8;5;7;20
"170710 Divinópolis do Tocantins";7;2;1;10
"170720 Dois Irmãos do Tocantins";1;1;1;3
"170730 Dueré";-;1;-;1
"170740 Esperantina";4;7;5;16
"170755 Fátima";2;7;4;13
"170765 Figueirópolis";7;3;4;14
"170770 Filadélfia";2;5;2;9
"170820 Formoso do Araguaia";19;16;8;43
"170825 Fortaleza do Tabocão";5;2;2;9
"170830 Goianorte";4;4;2;10
"170900 Goiatins";13;9;11;33
"170930 Guaraí";34;22;28;84
"170950 Gurupi";39;42;49;130
"170980 Ipueiras";2;-;4;6
"171050 Itacajá";5;8;6;19
"171070 Itaguatins";4;8;2;14
"171090 Itapiratins";-;2;7;9
"171110 Itaporã do Tocantins";1;2;-;3
"171150 Jaú do Tocantins";-;1;2;3
"171180 Juarina";1;2;-;3
"171190 Lagoa da Confusão";9;4;7;20
"171195 Lagoa do Tocantins";-;1;-;1
"171200 Lajeado";4;-;4;8
"171215 Lavandeira";-;1;-;1
"171240 Lizarda";4;3;-;7
"171245 Luzinópolis";5;4;1;10
"171250 Marianópolis do Tocantins";1;1;-;2
"171270 Mateiros";-;2;-;2
"171280 Maurilândia do Tocantins";2;6;2;10
"171320 Miracema do Tocantins";17;15;24;56
"171330 Miranorte";12;12;2;26
"171360 Monte do Carmo";-;-;4;4
"171370 Monte Santo do Tocantins";2;-;1;3
"171395 Muricilândia";8;6;2;16
"171420 Natividade";3;7;2;12
"171430 Nazaré";9;9;9;27
"171488 Nova Olinda";8;4;3;15
"171500 Nova Rosalândia";-;2;3;5
"171510 Novo Acordo";1;2;2;5
"171515 Novo Alegre";-;1;-;1
"171525 Novo Jardim";3;-;-;3
"171550 Oliveira de Fátima";-;2;-;2
"172100 Palmas";95;95;79;269
"171570 Palmeirante";7;3;3;13
"171380 Palmeiras do Tocantins";3;-;4;7
"171575 Palmeirópolis";4;2;3;9
"171610 Paraíso do Tocantins";23;11;18;52
"171620 Paranã";5;9;27;41
"171630 Pau D'Arco";9;3;12;24
"171650 Pedro Afonso";30;27;21;78
"171660 Peixe";10;14;3;27
"171665 Pequizeiro";4;1;2;7
"171700 Pindorama do Tocantins";1;-;1;2
"171720 Piraquê";1;1;7;9
"171750 Pium";39;22;16;77
"171780 Ponte Alta do Bom Jesus";1;4;1;6
"171790 Ponte Alta do Tocantins";3;7;2;12
"171800 Porto Alegre do Tocantins";1;1;1;3
"171820 Porto Nacional";43;55;51;149
"171830 Praia Norte";9;11;2;22
"171840 Presidente Kennedy";1;5;2;8
"171845 Pugmil";3;-;1;4
"171855 Riachinho";3;8;7;18
"171865 Rio da Conceição";-;-;1;1
"171870 Rio dos Bois";3;2;2;7
"171875 Rio Sono";1;2;-;3
"171880 Sampaio";7;6;1;14
"171884 Sandolândia";2;5;3;10
"171886 Santa Fé do Araguaia";1;3;3;7
"171888 Santa Maria do Tocantins";-;1;2;3
"171889 Santa Rita do Tocantins";2;-;-;2
"171890 Santa Rosa do Tocantins";-;1;4;5
"171900 Santa Tereza do Tocantins";1;1;1;3
"172000 Santa Terezinha do Tocantins";8;5;-;13
"172010 São Bento do Tocantins";3;1;1;5
"172015 São Félix do Tocantins";2;2;1;5
"172020 São Miguel do Tocantins";3;5;1;9
"172025 São Salvador do Tocantins";-;1;-;1
"172030 São Sebastião do Tocantins";5;4;1;10
"172049 São Valério";1;1;2;4
"172065 Silvanópolis";2;-;3;5
"172080 Sítio Novo do Tocantins";1;5;4;10
"172085 Sucupira";1;1;2;4
"172090 Taguatinga";12;6;3;21
"172093 Taipas do Tocantins";1;-;2;3
"172097 Talismã";4;5;2;11
"172110 Tocantínia";9;5;5;19
"172120 Tocantinópolis";53;48;37;138
"172125 Tupirama";3;5;1;9
"172130 Tupiratins";1;1;-;2
"172208 Wanderlândia";9;9;9;27
"172210 Xambioá";36;46;34;116
"210005 Açailândia";140;164;131;435
"210010 Afonso Cunha";38;21;1;60
"210015 Água Doce do Maranhão";39;12;4;55
"210020 Alcântara";13;18;11;42
"210030 Aldeias Altas";73;51;49;173
"210040 Altamira do Maranhão";1;7;2;10
"210043 Alto Alegre do Maranhão";54;25;17;96
"210047 Alto Alegre do Pindaré";22;30;42;94
"210050 Alto Parnaíba";4;4;2;10
"210055 Amapá do Maranhão";11;13;5;29
"210060 Amarante do Maranhão";96;81;65;242
"210070 Anajatuba";35;30;49;114
"210080 Anapurus";43;48;45;136
"210083 Apicum-Açu";13;15;12;40
"210087 Araguanã";7;18;20;45
"210090 Araioses";98;70;49;217
"210095 Arame";33;48;123;204
"210100 Arari";55;52;37;144
"210110 Axixá";30;13;29;72
"210120 Bacabal";67;87;97;251
"210125 Bacabeira";6;7;4;17
