"Município";"2015";"2016";"2017";"Total"
"251210 Pombal";10;24;29;63
"251220 Prata";-;2;-;2
"251230 Princesa Isabel";10;4;3;17
"251240 Puxinanã";8;7;16;31
"251250 Queimadas";33;48;56;137
"251260 Quixabá";1;-;1;2
"251270 Remígio";5;8;9;22
"251274 Riachão";3;10;2;15
"251275 Riachão do Bacamarte";11;15;8;34
"251276 Riachão do Poço";6;6;2;14
"251278 Riacho de Santo Antônio";4;-;2;6
"251280 Riacho dos Cavalos";2;-;4;6
"251290 Rio Tinto";6;19;6;31
"251300 Salgadinho";-;3;1;4
"251310 Salgado de São Félix";6;7;1;14
"251315 Santa Cecília";7;2;4;13
"251320 Santa Cruz";2;3;1;6
"251330 Santa Helena";3;1;7;11
"251335 Santa Inês";1;1;3;5
"251340 Santa Luzia";9;4;9;22
"251370 Santa Rita";150;148;129;427
"251380 Santa Teresinha";-;3;3;6
"251350 Santana de Mangueira";-;-;1;1
"251360 Santana dos Garrotes";2;1;6;9
"251385 Santo André";2;1;2;5
"251392 São Bentinho";2;1;1;4
"251390 São Bento";36;38;20;94
"251396 São Domingos";-;3;-;3
"251394 São Domingos do Cariri";-;1;3;4
"251398 São Francisco";-;-;1;1
"251400 São João do Cariri";8;6;7;21
"250070 São João do Rio do Peixe";5;3;5;13
"251410 São João do Tigre";1;2;2;5
"251430 São José de Caiana";1;1;3;5
"251440 São José de Espinharas";-;1;3;4
"251450 São José de Piranhas";30;18;11;59
"251455 São José de Princesa";-;-;1;1
"251460 São José do Bonfim";1;-;1;2
"251470 São José do Sabugi";3;-;1;4
"251480 São José dos Cordeiros";4;6;2;12
"251445 São José dos Ramos";3;1;2;6
"251490 São Mamede";4;3;3;10
"251500 São Miguel de Taipu";3;3;4;10
"251510 São Sebastião de Lagoa de Roça";8;11;8;27
"251520 São Sebastião do Umbuzeiro";-;2;5;7
"251540 São Vicente do Seridó";6;3;3;12
"251530 Sapé";59;23;44;126
"251550 Serra Branca";11;17;10;38
"251560 Serra da Raiz";2;1;-;3
"251570 Serra Grande";-;1;-;1
"251580 Serra Redonda";8;6;7;21
"251590 Serraria";3;2;8;13
"251593 Sertãozinho";7;2;3;12
"251597 Sobrado";6;1;5;12
"251600 Solânea";82;82;78;242
"251610 Soledade";15;5;3;23
"251615 Sossêgo";1;4;-;5
"251620 Sousa";14;26;19;59
"251630 Sumé";42;36;32;110
"251640 Tacima";5;4;-;9
"251650 Taperoá";14;28;21;63
"251660 Tavares";3;2;3;8
"251670 Teixeira";1;3;4;8
"251675 Tenório";1;3;-;4
"251680 Triunfo";1;3;6;10
"251690 Uiraúna";44;36;56;136
"251700 Umbuzeiro";7;6;5;18
"251720 Vieirópolis";-;1;2;3
"250550 Vista Serrana";1;-;3;4
"251740 Zabelê";7;-;1;8
"260005 Abreu e Lima";48;50;49;147
"260010 Afogados da Ingazeira";118;32;39;189
"260020 Afrânio";11;3;12;26
"260030 Agrestina";37;26;55;118
"260040 Água Preta";15;22;29;66
"260050 Águas Belas";11;15;19;45
"260060 Alagoinha";9;9;8;26
"260070 Aliança";17;16;12;45
"260080 Altinho";13;6;19;38
"260090 Amaraji";17;24;16;57
"260100 Angelim";5;2;8;15
"260105 Araçoiaba";5;7;9;21
"260110 Araripina";93;113;183;389
"260120 Arcoverde";90;79;75;244
"260130 Barra de Guabiraba";7;8;21;36
"260140 Barreiros";18;15;12;45
"260150 Belém de Maria";1;7;5;13
"260160 Belém do São Francisco";29;32;12;73
"260170 Belo Jardim";17;34;55;106
"260180 Betânia";3;10;4;17
"260190 Bezerros";20;30;19;69
"260200 Bodocó";14;14;17;45
"260210 Bom Conselho";45;24;32;101
"260220 Bom Jardim";12;28;13;53
"260230 Bonito";20;28;26;74
"260240 Brejão";8;9;-;17
"260250 Brejinho";12;4;8;24
"260260 Brejo da Madre de Deus";25;19;16;60
"260270 Buenos Aires";8;8;5;21
"260280 Buíque";127;117;118;362
"260290 Cabo de Santo Agostinho";80;103;80;263
"260300 Cabrobó";14;20;20;54
"260310 Cachoeirinha";5;15;8;28
"260320 Caetés";19;23;15;57
"260330 Calçado";1;3;5;9
"260340 Calumbi";10;2;6;18
"260345 Camaragibe";57;59;63;179
"260350 Camocim de São Félix";15;11;13;39
"260360 Camutanga";4;1;5;10
"260370 Canhotinho";16;19;21;56
"260380 Capoeiras";13;11;9;33
"260390 Carnaíba";18;16;16;50
"260392 Carnaubeira da Penha";26;15;13;54
"260400 Carpina";16;27;23;66
"260410 Caruaru";127;134;106;367
"260415 Casinhas";7;9;8;24
"260420 Catende";30;26;30;86
"260430 Cedro";26;19;9;54
"260440 Chã de Alegria";6;1;9;16
"260450 Chã Grande";23;14;24;61
"260460 Condado";12;11;14;37
"260470 Correntes";8;7;4;19
"260480 Cortês";10;7;16;33
"260490 Cumaru";7;9;10;26
"260500 Cupira";12;29;23;64
"260510 Custódia";24;8;19;51
"260515 Dormentes";6;10;6;22
"260520 Escada";37;36;35;108
"260530 Exu";11;18;10;39
"260540 Feira Nova";12;7;10;29
"260545 Fernando de Noronha";1;-;-;1
"260550 Ferreiros";2;5;1;8
"260560 Flores";21;18;20;59
"260570 Floresta";29;20;23;72
"260580 Frei Miguelinho";7;8;6;21
"260590 Gameleira";9;14;25;48
"260600 Garanhuns";85;108;87;280
"260610 Glória do Goitá";22;20;9;51
"260620 Goiana";42;61;79;182
"260630 Granito";1;3;1;5
"260640 Gravatá";31;39;54;124
"260650 Iati";8;11;25;44
"260660 Ibimirim";9;13;12;34
"260670 Ibirajuba";5;8;5;18
"260680 Igarassu";23;43;48;114
"260690 Iguaracy";13;4;10;27
"260760 Ilha de Itamaracá";7;8;4;19
"260700 Inajá";5;5;3;13
"260710 Ingazeira";9;3;2;14
"260720 Ipojuca";23;29;28;80
"260730 Ipubi";22;26;18;66
"260740 Itacuruba";4;1;1;6
"260750 Itaíba";6;6;10;22
"260765 Itambé";13;7;18;38
"260770 Itapetim";2;4;2;8
"260775 Itapissuma";5;7;15;27
"260780 Itaquitinga";9;7;7;23
"260790 Jaboatão dos Guararapes";230;319;297;846
"260795 Jaqueira";14;3;12;29
"260800 Jataúba";26;21;18;65
"260805 Jatobá";8;5;4;17
"260810 João Alfredo";32;24;11;67
"260820 Joaquim Nabuco";6;9;4;19
"260825 Jucati";7;8;4;19
"260830 Jupi";8;6;18;32
"260840 Jurema";7;10;8;25
"260850 Lagoa de Itaenga";14;9;7;30
"260845 Lagoa do Carro";14;4;8;26
"260860 Lagoa do Ouro";17;17;21;55
"260870 Lagoa dos Gatos";8;9;2;19
"260875 Lagoa Grande";9;2;3;14
"260880 Lajedo";28;22;26;76
"260890 Limoeiro";26;22;26;74
"260900 Macaparana";21;26;26;73
"260910 Machados";5;12;11;28
"260915 Manari";9;3;6;18
"260920 Maraial";3;4;5;12
"260930 Mirandiba";21;17;16;54
"261430 Moreilândia";4;7;1;12
"260940 Moreno";33;29;32;94
"260950 Nazaré da Mata";19;18;13;50
"260960 Olinda";149;168;178;495
"260970 Orobó";21;21;13;55
"260980 Orocó";5;3;3;11
"260990 Ouricuri";50;24;29;103
"261000 Palmares";50;60;40;150
"261010 Palmeirina";1;6;8;15
"261020 Panelas";8;16;19;43
"261030 Paranatama";3;4;6;13
"261040 Parnamirim";14;16;29;59
"261050 Passira";7;7;16;30
"261060 Paudalho";21;19;16;56
"261070 Paulista";105;121;116;342
"261080 Pedra";10;14;15;39
"261090 Pesqueira";169;140;104;413
"261100 Petrolândia";47;31;16;94
"261110 Petrolina";92;98;117;307
"261120 Poção";13;8;2;23
"261130 Pombos";18;31;30;79
"261140 Primavera";6;1;6;13
"261150 Quipapá";18;23;9;50
"261153 Quixaba";6;2;2;10
"261160 Recife";583;623;657;1863
"261170 Riacho das Almas";18;22;19;59
"261180 Ribeirão";32;22;11;65
"261190 Rio Formoso";12;17;16;45
"261200 Sairé";15;15;5;35
"261210 Salgadinho";3;4;1;8
"261220 Salgueiro";100;71;68;239
"261230 Saloá";14;9;18;41
"261240 Sanharó";21;13;11;45
"261245 Santa Cruz";6;9;13;28
"261247 Santa Cruz da Baixa Verde";11;12;10;33
"261250 Santa Cruz do Capibaribe";24;18;27;69
"261255 Santa Filomena";1;4;1;6
"261260 Santa Maria da Boa Vista";24;7;13;44
"261270 Santa Maria do Cambucá";10;13;6;29
"261280 Santa Terezinha";9;5;1;15
"261290 São Benedito do Sul";3;3;6;12
"261300 São Bento do Una";49;31;36;116
"261310 São Caitano";53;37;42;132
"261320 São João";14;18;16;48
"261330 São Joaquim do Monte";10;15;18;43
"261340 São José da Coroa Grande";4;6;14;24
"261350 São José do Belmonte";43;22;32;97
"261360 São José do Egito";19;11;17;47
"261370 São Lourenço da Mata";41;57;52;150
"261380 São Vicente Ferrer";26;11;18;55
"261390 Serra Talhada";133;146;129;408
"261400 Serrita";13;17;8;38
"261410 Sertânia";26;25;32;83
"261420 Sirinhaém";24;36;29;89
"261440 Solidão";7;3;4;14
"261450 Surubim";74;69;74;217
"261460 Tabira";61;19;17;97
"261470 Tacaimbó";2;5;4;11
"261480 Tacaratu";10;2;1;13
"261485 Tamandaré";15;19;26;60
"261500 Taquaritinga do Norte";19;15;12;46
"261510 Terezinha";7;4;7;18
"261520 Terra Nova";16;14;17;47
"261530 Timbaúba";31;29;23;83
"261540 Toritama";13;15;10;38
"261550 Tracunhaém";6;3;7;16
"261560 Trindade";18;17;9;44
"261570 Triunfo";28;33;19;80
"261580 Tupanatinga";11;15;16;42
"261590 Tuparetama";5;1;5;11
"261600 Venturosa";30;11;4;45
"261610 Verdejante";17;12;14;43
"261618 Vertente do Lério";2;6;15;23
"261620 Vertentes";8;5;3;16
"261630 Vicência";14;13;7;34
"261640 Vitória de Santo Antão";333;342;322;997
"261650 Xexéu";12;8;8;28
"270010 Água Branca";6;7;25;38
"270020 Anadia";13;8;5;26
"270030 Arapiraca";145;162;142;449
"270040 Atalaia";55;31;24;110
"270050 Barra de Santo Antônio";1;5;3;9
"270060 Barra de São Miguel";4;4;-;8
"270070 Batalha";23;13;8;44
"270080 Belém";3;5;6;14
"270090 Belo Monte";-;1;-;1
"270100 Boca da Mata";28;22;28;78
"270110 Branquinha";2;3;5;10
"270120 Cacimbinhas";1;7;4;12
"270130 Cajueiro";11;12;16;39
"270135 Campestre";3;4;2;9
"270140 Campo Alegre";25;42;21;88
"270150 Campo Grande";3;3;2;8
"270160 Canapi";4;2;-;6
"270170 Capela";46;21;20;87
"270180 Carneiros";-;1;1;2
"270190 Chã Preta";2;2;2;6
"270200 Coité do Nóia";1;-;5;6
"270210 Colônia Leopoldina";18;13;10;41
"270220 Coqueiro Seco";2;3;-;5
"270230 Coruripe";40;93;88;221
"270235 Craíbas";14;4;6;24
"270240 Delmiro Gouveia";107;105;97;309
"270250 Dois Riachos";-;3;2;5
"270255 Estrela de Alagoas";15;18;17;50
"270260 Feira Grande";9;9;11;29
"270270 Feliz Deserto";5;10;15;30
"270280 Flexeiras";11;11;17;39
"270290 Girau do Ponciano";8;10;15;33
"270300 Ibateguara";2;3;5;10
"270310 Igaci";20;26;28;74
"270320 Igreja Nova";19;18;11;48
"270330 Inhapi";7;6;5;18
"270340 Jacaré dos Homens";4;2;3;9
"270350 Jacuípe";2;3;4;9
"270360 Japaratinga";9;3;6;18
"270370 Jaramataia";1;1;1;3
"270375 Jequiá da Praia";1;5;8;14
"270380 Joaquim Gomes";20;20;16;56
"270390 Jundiá";2;-;1;3
"270400 Junqueiro";48;61;51;160
"270410 Lagoa da Canoa";3;8;8;19
"270420 Limoeiro de Anadia";5;11;10;26
"270430 Maceió";418;386;277;1081
"270440 Major Isidoro";6;3;10;19
"270490 Mar Vermelho";2;1;3;6
"270450 Maragogi";8;5;7;20
"270460 Maravilha";1;1;1;3
"270470 Marechal Deodoro";17;17;16;50
"270480 Maribondo";6;9;7;22
"270500 Mata Grande";60;32;30;122
"270510 Matriz de Camaragibe";35;47;23;105
"270520 Messias";5;3;2;10
"270530 Minador do Negrão";6;6;5;17
"270540 Monteirópolis";2;2;2;6
"270550 Murici";33;14;8;55
"270560 Novo Lino";8;8;4;20
"270570 Olho d'Água das Flores";18;8;4;30
"270580 Olho d'Água do Casado";9;6;5;20
"270590 Olho d'Água Grande";2;2;2;6
"270600 Olivença";2;-;2;4
"270610 Ouro Branco";3;1;1;5
"270620 Palestina";5;7;5;17
"270630 Palmeira dos Índios";86;127;116;329
"270640 Pão de Açúcar";28;38;21;87
"270642 Pariconha";17;13;18;48
"270644 Paripueira";5;4;4;13
"270650 Passo de Camaragibe";4;5;5;14
"270660 Paulo Jacinto";9;7;3;19
"270670 Penedo";54;48;44;146
"270680 Piaçabuçu";2;11;12;25
"270690 Pilar";26;16;99;141
"270700 Pindoba";2;2;1;5
"270710 Piranhas";50;49;41;140
"270720 Poço das Trincheiras";2;4;-;6
"270730 Porto Calvo";20;27;53;100
"270740 Porto de Pedras";3;4;4;11
"270750 Porto Real do Colégio";9;8;8;25
"270760 Quebrangulo";16;23;34;73
"270770 Rio Largo";41;45;39;125
"270780 Roteiro";11;8;3;22
"270790 Santa Luzia do Norte";4;4;1;9
"270800 Santana do Ipanema";10;10;6;26
"270810 Santana do Mundaú";5;1;-;6
"270820 São Brás";1;-;4;5
"270830 São José da Laje";25;17;38;80
"270840 São José da Tapera";13;11;14;38
"270850 São Luís do Quitunde";31;10;20;61
"270860 São Miguel dos Campos";53;53;56;162
"270870 São Miguel dos Milagres";2;1;2;5
"270880 São Sebastião";16;21;16;53
"270890 Satuba";4;6;4;14
"270895 Senador Rui Palmeira";-;6;5;11
"270900 Tanque d'Arca";2;7;4;13
"270910 Taquarana";7;10;12;29
"270915 Teotônio Vilela";37;54;42;133
"270920 Traipu";14;5;3;22
"270930 União dos Palmares";27;45;44;116
"270940 Viçosa";16;25;23;64
"280010 Amparo de São Francisco";1;1;-;2
"280020 Aquidabã";107;60;123;290
"280030 Aracaju";163;221;191;575
"280040 Arauá";5;5;4;14
"280050 Areia Branca";3;3;7;13
"280060 Barra dos Coqueiros";6;8;-;14
"280067 Boquim";6;9;10;25
"280070 Brejo Grande";8;1;-;9
"280100 Campo do Brito";8;3;3;14
"280110 Canhoba";4;7;2;13
"280120 Canindé de São Francisco";3;6;6;15
"280130 Capela";74;68;48;190
"280140 Carira";3;2;7;12
"280150 Carmópolis";4;2;8;14
"280160 Cedro de São João";3;2;-;5
"280170 Cristinápolis";5;6;8;19
"280190 Cumbe";-;-;1;1
"280200 Divina Pastora";12;17;8;37
"280210 Estância";50;58;89;197
"280220 Feira Nova";-;1;-;1
"280230 Frei Paulo";4;8;2;14
"280240 Gararu";3;1;5;9
"280250 General Maynard";2;2;1;5
"280260 Gracho Cardoso";-;-;2;2
"280270 Ilha das Flores";3;6;2;11
"280280 Indiaroba";7;6;22;35
"280290 Itabaiana";25;24;21;70
"280300 Itabaianinha";4;8;13;25
"280310 Itabi";-;1;-;1
"280320 Itaporanga d'Ajuda";8;4;6;18
"280330 Japaratuba";3;8;2;13
"280340 Japoatã";3;3;3;9
"280350 Lagarto";75;77;83;235
"280360 Laranjeiras";10;15;7;32
"280370 Macambira";1;2;3;6
"280380 Malhada dos Bois";1;1;1;3
"280390 Malhador";8;8;12;28
"280400 Maruim";4;1;6;11
"280410 Moita Bonita";1;4;2;7
"280420 Monte Alegre de Sergipe";2;4;1;7
"280430 Muribeca";7;3;5;15
"280440 Neópolis";13;5;6;24
"280450 Nossa Senhora da Glória";6;16;6;28
"280460 Nossa Senhora das Dores";3;2;10;15
"280470 Nossa Senhora de Lourdes";3;1;3;7
"280480 Nossa Senhora do Socorro";104;110;101;315
"280490 Pacatuba";5;2;6;13
"280500 Pedra Mole";1;-;1;2
"280510 Pedrinhas";4;2;5;11
"280520 Pinhão";2;2;3;7
"280530 Pirambu";1;1;3;5
"280540 Poço Redondo";2;3;2;7
"280550 Poço Verde";6;12;5;23
"280560 Porto da Folha";3;1;2;6
"280570 Propriá";9;18;14;41
"280580 Riachão do Dantas";7;4;7;18
"280590 Riachuelo";41;56;56;153
"280600 Ribeirópolis";2;5;2;9
"280610 Rosário do Catete";1;4;-;5
"280620 Salgado";8;8;10;26
"280630 Santa Luzia do Itanhy";5;3;7;15
"280650 Santa Rosa de Lima";9;13;10;32
"280640 Santana do São Francisco";3;1;-;4
"280660 Santo Amaro das Brotas";4;2;6;12
"280670 São Cristóvão";44;52;55;151
"280680 São Domingos";-;3;6;9
"280690 São Francisco";5;2;2;9
"280700 São Miguel do Aleixo";1;1;1;3
"280710 Simão Dias";31;26;19;76
"280720 Siriri";5;3;3;11
"280730 Telha";2;1;-;3
"280740 Tobias Barreto";31;28;12;71
"280750 Tomar do Geru";2;9;9;20
"280760 Umbaúba";8;11;39;58
"290010 Abaíra";1;3;1;5
"290020 Abaré";19;11;16;46
"290030 Acajutiba";5;5;6;16
"290035 Adustina";7;1;3;11
"290040 Água Fria";18;14;13;45
"290060 Aiquara";12;3;1;16
"290070 Alagoinhas";138;145;241;524
"290080 Alcobaça";37;21;15;73
"290090 Almadina";2;2;2;6
"290100 Amargosa";45;56;58;159
"290110 Amélia Rodrigues";19;11;23;53
"290115 América Dourada";31;12;17;60
"290120 Anagé";20;11;16;47
"290130 Andaraí";47;22;9;78
"290135 Andorinha";16;15;5;36
"290140 Angical";2;4;1;7
"290150 Anguera";14;5;2;21
"290160 Antas";40;33;31;104
"290170 Antônio Cardoso";-;1;2;3
"290180 Antônio Gonçalves";12;14;14;40
"290190 Aporá";10;7;6;23
"290195 Apuarema";5;1;3;9
"290205 Araças";4;1;7;12
"290200 Aracatu";18;19;11;48
"290210 Araci";31;21;32;84
"290220 Aramari";10;7;13;30
"290225 Arataca";13;12;7;32
"290230 Aratuípe";14;10;17;41
"290240 Aurelino Leal";46;40;25;111
"290250 Baianópolis";10;6;4;20
"290260 Baixa Grande";46;7;24;77
"290265 Banzaê";2;3;1;6
"290270 Barra";68;85;55;208
"290280 Barra da Estiva";46;20;28;94
"290290 Barra do Choça";24;12;28;64
"290300 Barra do Mendes";78;28;12;118
"290310 Barra do Rocha";14;9;8;31
"290320 Barreiras";84;93;59;236
"290323 Barro Alto";23;8;5;36
"290330 Barro Preto";5;6;5;16
"290327 Barrocas";12;5;18;35
"290340 Belmonte";37;17;29;83
"290350 Belo Campo";17;24;20;61
"290360 Biritinga";6;10;16;32
"290370 Boa Nova";7;10;9;26
"290380 Boa Vista do Tupim";5;2;8;15
"290390 Bom Jesus da Lapa";43;29;52;124
"290395 Bom Jesus da Serra";22;10;10;42
"290400 Boninal";31;28;18;77
"290405 Bonito";11;14;6;31
"290410 Boquira";64;22;42;128
"290420 Botuporã";39;16;6;61
"290430 Brejões";15;9;5;29
"290440 Brejolândia";4;1;1;6
"290450 Brotas de Macaúbas";32;2;10;44
"290460 Brumado";45;35;39;119
"290470 Buerarema";14;7;7;28
"290475 Buritirama";8;17;6;31
"290480 Caatiba";24;10;8;42
"290485 Cabaceiras do Paraguaçu";7;8;9;24
"290490 Cachoeira";106;77;98;281
"290500 Caculé";34;13;14;61
"290510 Caém";69;15;11;95
"290515 Caetanos";3;1;5;9
"290520 Caetité";21;28;38;87
"290530 Cafarnaum";9;5;6;20
"290540 Cairu";7;7;16;30
"290550 Caldeirão Grande";32;9;4;45
"290560 Camacan";98;71;37;206
"290570 Camaçari";104;108;69;281
"290580 Camamu";12;7;8;27
"290590 Campo Alegre de Lourdes";68;17;20;105
"290600 Campo Formoso";68;68;76;212
"290610 Canápolis";-;3;9;12
"290620 Canarana";46;8;6;60
"290630 Canavieiras";58;63;36;157
"290640 Candeal";15;13;6;34
"290650 Candeias";26;31;42;99
"290660 Candiba";11;7;3;21
"290670 Cândido Sales";60;22;13;95
"290680 Cansanção";60;56;63;179
"290682 Canudos";20;20;16;56
"290685 Capela do Alto Alegre";3;7;2;12
"290687 Capim Grosso";19;22;31;72
"290689 Caraíbas";12;4;3;19
"290690 Caravelas";70;28;28;126
"290700 Cardeal da Silva";4;1;1;6
"290710 Carinhanha";11;6;23;40
"290720 Casa Nova";29;23;25;77
"290730 Castro Alves";12;17;15;44
"290740 Catolândia";-;-;1;1
"290750 Catu";23;28;18;69
"290755 Caturama";10;8;7;25
"290760 Central";18;6;6;30
"290770 Chorrochó";3;2;-;5
"290780 Cícero Dantas";20;32;18;70
"290790 Cipó";10;9;17;36
"290800 Coaraci";18;21;15;54
"290810 Cocos";35;13;18;66
"290820 Conceição da Feira";15;10;17;42
"290830 Conceição do Almeida";17;11;13;41
"290840 Conceição do Coité";83;177;134;394
"290850 Conceição do Jacuípe";22;26;18;66
"290860 Conde";8;6;12;26
"290870 Condeúba";18;18;13;49
"290880 Contendas do Sincorá";2;-;3;5
"290890 Coração de Maria";6;2;24;32
"290900 Cordeiros";8;12;16;36
"290910 Coribe";27;9;33;69
"290920 Coronel João Sá";8;4;5;17
"290930 Correntina";36;19;6;61
"290940 Cotegipe";3;2;2;7
"290950 Cravolândia";27;13;6;46
"290960 Crisópolis";19;22;17;58
"290970 Cristópolis";31;16;6;53
"290980 Cruz das Almas";21;17;31;69
"290990 Curaçá";17;20;19;56
"291000 Dário Meira";6;3;7;16
"291005 Dias d'Ávila";26;23;25;74
"291010 Dom Basílio";6;5;3;14
"291020 Dom Macedo Costa";4;1;1;6
"291030 Elísio Medrado";10;10;22;42
"291040 Encruzilhada";82;20;19;121
"291050 Entre Rios";25;21;34;80
"290050 Érico Cardoso";21;29;10;60
"291060 Esplanada";37;23;44;104
"291070 Euclides da Cunha";33;53;47;133
"291072 Eunápolis";73;87;127;287
"291075 Fátima";2;-;1;3
"291077 Feira da Mata";2;1;3;6
"291080 Feira de Santana";210;202;217;629
"291085 Filadélfia";27;9;6;42
"291090 Firmino Alves";15;2;11;28
"291100 Floresta Azul";3;5;2;10
"291110 Formosa do Rio Preto";5;11;10;26
"291120 Gandu";103;65;54;222
"291125 Gavião";1;-;5;6
"291130 Gentio do Ouro";18;9;-;27
"291140 Glória";4;5;12;21
"291150 Gongogi";17;6;7;30
"291160 Governador Mangabeira";27;21;16;64
"291165 Guajeru";3;1;3;7
"291170 Guanambi";43;32;42;117
"291180 Guaratinga";21;8;26;55
"291185 Heliópolis";5;1;2;8
"291190 Iaçu";8;-;27;35
"291200 Ibiassucê";42;8;5;55
"291210 Ibicaraí";28;12;9;49
"291220 Ibicoara";10;9;6;25
"291230 Ibicuí";57;27;29;113
"291240 Ibipeba";48;16;2;66
"291250 Ibipitanga";5;3;11;19
"291260 Ibiquera";2;1;1;4
"291270 Ibirapitanga";85;22;18;125
"291280 Ibirapuã";1;2;5;8
"291290 Ibirataia";246;209;188;643
"291300 Ibitiara";55;33;36;124
"291310 Ibititá";11;7;1;19
"291320 Ibotirama";34;39;34;107
"291330 Ichu";14;15;1;30
"291340 Igaporã";25;9;3;37
"291345 Igrapiúna";29;48;17;94
"291350 Iguaí";89;75;67;231
"291360 Ilhéus";148;229;181;558
"291370 Inhambupe";29;18;30;77
"291380 Ipecaetá";11;8;5;24
"291390 Ipiaú";60;66;79;205
"291400 Ipirá";15;12;16;43
"291410 Ipupiara";8;11;8;27
"291420 Irajuba";46;19;13;78
"291430 Iramaia";55;22;30;107
"291440 Iraquara";24;14;35;73
"291450 Irará";38;32;12;82
"291460 Irecê";27;18;23;68
"291465 Itabela";69;56;79;204
"291470 Itaberaba";74;52;16;142
"291480 Itabuna";110;126;94;330
"291490 Itacaré";16;17;15;48
"291500 Itaeté";8;8;5;21
"291510 Itagi";10;22;17;49
"291520 Itagibá";100;16;10;126
"291530 Itagimirim";3;3;7;13
"291535 Itaguaçu da Bahia";16;6;5;27
"291540 Itaju do Colônia";24;4;2;30
"291550 Itajuípe";68;27;9;104
"291560 Itamaraju";83;59;60;202
"291570 Itamari";81;28;8;117
"291580 Itambé";106;99;118;323
"291590 Itanagra";2;1;1;4
"291600 Itanhém";73;44;36;153
"291610 Itaparica";46;62;35;143
"291620 Itapé";10;3;6;19
"291630 Itapebi";5;8;13;26
"291640 Itapetinga";185;186;161;532
"291650 Itapicuru";37;28;12;77
"291660 Itapitanga";2;6;8;16
"291670 Itaquara";23;13;11;47
"291680 Itarantim";37;23;23;83
"291685 Itatim";29;16;11;56
"291690 Itiruçu";54;20;67;141
"291700 Itiúba";72;23;34;129
"291710 Itororó";139;71;90;300
"291720 Ituaçu";15;14;15;44
"291730 Ituberá";88;41;41;170
"291733 Iuiú";1;6;3;10
"291735 Jaborandi";13;3;3;19
"291740 Jacaraci";6;14;21;41
"291750 Jacobina";140;95;124;359
"291760 Jaguaquara";181;93;111;385
"291770 Jaguarari";38;26;12;76
"291780 Jaguaripe";22;16;31;69
"291790 Jandaíra";3;4;6;13
"291800 Jequié";171;57;89;317
"291810 Jeremoabo";39;36;29;104
"291820 Jiquiriçá";81;28;33;142
"291830 Jitaúna";7;17;18;42
"291835 João Dourado";28;16;15;59
"291840 Juazeiro";123;112;141;376
"291845 Jucuruçu";4;4;1;9
"291850 Jussara";38;11;23;72
"291855 Jussari";9;10;-;19
"291860 Jussiape";17;7;11;35
"291870 Lafaiete Coutinho";3;1;2;6
"291875 Lagoa Real";8;3;1;12
"291880 Laje";37;16;30;83
"291890 Lajedão";2;-;4;6
"291900 Lajedinho";2;2;-;4
"291905 Lajedo do Tabocal";18;7;10;35
"291910 Lamarão";1;5;2;8
"291915 Lapão";87;34;8;129
"291920 Lauro de Freitas";88;131;89;308
"291930 Lençóis";9;6;17;32
"291940 Licínio de Almeida";5;12;8;25
"291950 Livramento de Nossa Senhora";33;35;41;109
"291955 Luís Eduardo Magalhães";9;7;10;26
"291960 Macajuba";21;9;4;34
"291970 Macarani";17;9;10;36
"291980 Macaúbas";59;57;55;171
"291990 Macururé";6;1;5;12
"291992 Madre de Deus";11;10;13;34
"291995 Maetinga";10;1;4;15
"292000 Maiquinique";44;22;25;91
"292010 Mairi";51;28;31;110
"292020 Malhada";17;3;9;29
"292030 Malhada de Pedras";2;-;-;2
"292040 Manoel Vitorino";3;6;3;12
"292045 Mansidão";6;4;1;11
"292050 Maracás";88;35;19;142
"292060 Maragogipe";21;33;26;80
"292070 Maraú";11;2;8;21
"292080 Marcionílio Souza";8;3;-;11
"292090 Mascote";19;18;18;55
"292100 Mata de São João";30;23;23;76
"292105 Matina";13;3;7;23
"292110 Medeiros Neto";46;25;57;128
"292120 Miguel Calmon";82;91;64;237
"292130 Milagres";11;10;31;52
"292140 Mirangaba";7;8;5;20
"292145 Mirante";10;1;3;14
"292150 Monte Santo";128;82;36;246
"292160 Morpará";1;-;2;3
"292170 Morro do Chapéu";82;48;59;189
"292180 Mortugaba";16;10;18;44
"292190 Mucugê";24;15;26;65
"292200 Mucuri";64;32;36;132
"292205 Mulungu do Morro";24;7;8;39
"292210 Mundo Novo";47;19;22;88
"292220 Muniz Ferreira";13;16;19;48
"292225 Muquém de São Francisco";6;9;4;19
"292230 Muritiba";13;19;33;65
"292240 Mutuípe";119;122;94;335
"292250 Nazaré";90;72;98;260
"292260 Nilo Peçanha";16;25;10;51
"292265 Nordestina";12;8;19;39
"292270 Nova Canaã";48;17;36;101
"292273 Nova Fátima";5;3;4;12
"292275 Nova Ibiá";3;6;2;11
"292280 Nova Itarana";8;7;8;23
"292285 Nova Redenção";1;3;1;5
"292290 Nova Soure";7;10;23;40
"292300 Nova Viçosa";64;48;45;157
"292303 Novo Horizonte";14;10;13;37
"292305 Novo Triunfo";24;14;19;57
"292310 Olindina";79;38;18;135
"292320 Oliveira dos Brejinhos";39;22;25;86
"292330 Ouriçangas";26;11;9;46
"292335 Ourolândia";13;10;17;40
"292340 Palmas de Monte Alto";31;8;7;46
"292350 Palmeiras";5;-;3;8
"292360 Paramirim";68;40;50;158
"292370 Paratinga";26;14;21;61
