,QUANTIDADE,MUNCOD,MUNNOME,LATITUDE,LONGITUDE
248,121,316870,Timóteo,-19.583,-42.644
249,16,316930,Três Corações,-21.697,-45.253
250,6,316935,Três Marias,-18.206,-45.242
251,5,316940,Três Pontas,-21.367,-45.513
252,4,316970,Turmalina,-17.286,-42.73
253,225,316990,Ubá,-21.12,-42.943
254,2209,317010,Uberaba,-19.748,-47.932
255,104,317020,Uberlândia,-18.919,-48.277
256,19,317070,Varginha,-21.551,-45.43
257,25,317120,Vespasiano,-19.692,-43.923
258,504,317130,Viçosa,-20.754,-42.882
259,5,317180,Virginópolis,-18.823,-42.704
260,5,317200,Visconde do Rio Branco,-21.01,-42.841
261,7,320010,Afonso Cláudio,-20.074,-41.124
262,25,320020,Alegre,-20.764,-41.533
263,31,320060,Aracruz,-19.82,-40.273
264,1314,320120,Cachoeiro de Itapemirim,-20.849,-41.113
265,36,320140,Castelo,-20.604,-41.185
266,76,320150,Colatina,-19.539,-40.631
267,1,320190,Domingos Martins,-20.363,-40.659
268,13,320240,Guarapari,-20.658,-40.511
269,1,320280,Itapemirim,-21.011,-40.834
270,1,320290,Itarana,-19.874,-40.875
271,5,320300,Iúna,-20.346,-41.536
272,9,320313,João Neiva,-19.758,-40.386
273,225,320320,Linhares,-19.391,-40.072
274,5,320340,Mimoso do Sul,-21.064,-41.366
275,1,320455,Santa Maria de Jetibá,-20.041,-40.746
276,17,320460,Santa Teresa,-19.936,-40.6
277,42,320490,São Mateus,-18.716,-39.859
278,1,320503,Vargem Alta,-20.671,-41.007
279,25,320506,Venda Nova do Imigrante,-20.34,-41.135
280,447,320520,Vila Velha,-20.33,-40.292
281,1477,320530,Vitória,-20.319,-40.338
282,80,330010,Angra dos Reis,-23.007,-44.318
283,48,330030,Barra do Piraí,-22.47,-43.826
284,190,330040,Barra Mansa,-22.544,-44.171
285,28,330050,Bom Jardim,-22.152,-42.419
286,46,330060,Bom Jesus do Itabapoana,-21.134,-41.68
287,562,330100,Campos dos Goytacazes,-21.754,-41.324
288,22,330110,Cantagalo,-21.981,-42.368
289,14,330120,Carmo,-21.934,-42.609
290,1,330150,Cordeiro,-22.029,-42.361
291,970,330220,Itaperuna,-21.205,-41.888
292,726,330240,Macaé,-22.371,-41.787
293,12,330300,Miracema,-21.412,-42.197
294,6,330310,Natividade,-21.042,-41.973
295,373,330330,Niterói,-22.883,-43.104
296,341,330340,Nova Friburgo,-22.282,-42.531
297,304,330350,Nova Iguaçu,-22.759,-43.451
298,44,330370,Paraíba do Sul,-22.162,-43.293
299,779,330390,Petrópolis,-22.505,-43.179
300,128,330400,Piraí,-22.629,-43.898
301,622,330420,Resende,-22.469,-44.447
302,140,330430,Rio Bonito,-22.708,-42.626
303,6259,330455,Rio de Janeiro,-22.903,-43.208
304,9,330480,São Fidélis,-21.646,-41.747
305,5,330520,São Pedro da Aldeia,-22.839,-42.103
306,678,330580,Teresópolis,-22.412,-42.966
307,47,330600,Três Rios,-22.117,-43.209
308,1,330610,Valença,-22.246,-43.7
309,22,330620,Vassouras,-22.404,-43.663
310,45,350010,Adamantina,-21.685,-51.073
311,6,350050,Águas de Lindóia,-22.476,-46.633
312,15,350070,Agudos,-22.469,-48.988
313,1,350100,Altinópolis,-21.026,-47.374
314,1,350130,Álvares Machado,-22.079,-51.472
315,721,350160,Americana,-22.739,-47.331
316,709,350190,Amparo,-22.701,-46.764
317,234,350210,Andradina,-20.896,-51.379
318,6,350220,Angatuba,-23.49,-48.413
319,6,350250,Aparecida,-22.847,-45.23
320,4,350270,Apiaí,-24.509,-48.843
321,1255,350280,Araçatuba,-21.209,-50.433
322,1372,350320,Araraquara,-21.794,-48.176
323,262,350330,Araras,-22.357,-47.384
324,9,350380,Artur Nogueira,-22.573,-47.173
325,88,350390,Arujá,-23.396,-46.321
326,56,350400,Assis,-22.662,-50.412
327,5,350420,Auriflama,-20.686,-50.555
328,70,350450,Avaré,-23.099,-48.926
329,6,350520,Bariri,-22.074,-48.74
330,56,350530,Barra Bonita,-22.495,-48.558
331,8633,350550,Barretos,-20.557,-48.568
332,13,350590,Batatais,-20.891,-47.585
333,5907,350600,Bauru,-22.315,-49.061
334,93,350610,Bebedouro,-20.949,-48.479
335,129,350650,Birigui,-21.289,-50.34
336,11,350700,Boituva,-23.283,-47.672
337,9,350740,Borborema,-21.62,-49.074
338,492,350760,Bragança Paulista,-22.952,-46.542
339,8,350790,Brotas,-22.284,-48.127
340,7,350810,Buritama,-21.066,-50.147
341,6,350840,Cabreúva,-23.308,-47.133
342,67,350850,Caçapava,-23.101,-45.707
343,3,350880,Cafelândia,-21.803,-49.61
344,38,350940,Cajuru,-21.275,-47.304
345,5605,350950,Campinas,-22.906,-47.061
346,8,350970,Campos do Jordão,-22.739,-45.591
347,8,351000,Cândido Mota,-22.746,-50.387
348,26,351020,Capão Bonito,-24.006,-48.349
349,3,351040,Capivari,-22.995,-47.508
350,97,351050,Caraguatatuba,-23.62,-45.413
351,7,351080,Casa Branca,-21.774,-47.086
352,981,351110,Catanduva,-21.138,-48.973
353,2,351140,Cerqueira César,-23.036,-49.166
354,6,351150,Cerquilho,-23.165,-47.744
355,1,351200,Colina,-20.713,-48.541
356,66,351300,Cotia,-23.604,-46.919
357,1,351310,Cravinhos,-21.34,-47.729
358,24,351340,Cruzeiro,-22.576,-44.963
359,19,351370,Descalvado,-21.904,-47.619
360,18,351380,Diadema,-23.686,-46.623
361,9,351410,Dois Córregos,-22.366,-48.38
362,169,351440,Dracena,-21.483,-51.533
363,100,351515,Engenheiro Coelho,-22.488,-47.215
364,76,351518,Espírito Santo do Pinhal,-22.191,-46.741
