"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"130120 Coari";53;11;26;11;14;15;7;16;21;6;17;197
"130130 Codajás";7;10;1;4;2;15;14;21;39;70;19;202
"130140 Eirunepé";1;3;10;9;3;20;12;2;1;11;18;90
"130150 Envira";2;5;-;-;-;-;2;3;19;4;5;40
"130160 Fonte Boa";-;1;-;-;-;-;-;2;10;6;-;19
"130165 Guajará";4;8;4;9;17;14;12;12;14;2;5;101
"130170 Humaitá";3;45;39;16;14;4;10;26;19;28;25;229
"130180 Ipixuna";8;1;5;7;10;10;13;10;12;16;21;113
"130185 Iranduba";6;5;5;6;3;1;2;-;2;2;5;37
"130190 Itacoatiara";22;8;28;22;31;30;57;30;41;28;15;312
"130195 Itamarati";-;2;1;-;-;1;-;-;3;1;-;8
"130200 Itapiranga";-;-;2;2;3;-;-;-;-;-;-;7
"130210 Japurá";-;-;1;-;-;-;-;-;-;1;1;3
"130220 Juruá";1;1;1;3;-;-;-;1;-;1;-;8
"130230 Jutaí";-;4;26;1;-;-;2;-;1;1;3;38
"130240 Lábrea";1;-;1;7;11;9;6;1;-;1;4;41
"130250 Manacapuru";14;10;5;17;28;19;10;7;8;8;15;141
"130255 Manaquiri";1;-;16;20;10;6;5;3;3;2;3;69
"130260 Manaus";1424;725;484;310;394;170;180;295;304;276;225;4787
"130270 Manicoré";2;-;-;-;-;33;1;6;2;4;6;54
"130280 Maraã";1;-;1;-;-;1;-;1;-;-;-;4
"130290 Maués";3;5;13;9;10;26;12;-;2;11;35;126
"130300 Nhamundá";-;1;-;3;-;3;-;-;2;1;1;11
"130310 Nova Olinda do Norte";2;-;-;-;-;-;1;-;-;1;1;5
"130320 Novo Airão";1;-;1;-;2;4;-;-;-;1;5;14
"130330 Novo Aripuanã";17;7;18;18;8;4;6;8;-;14;4;104
"130340 Parintins";9;5;14;12;7;19;13;7;14;16;15;131
"130350 Pauini";1;-;10;4;5;6;4;11;4;2;4;51
"130353 Presidente Figueiredo";4;4;1;-;1;5;2;1;-;3;3;24
"130356 Rio Preto da Eva";1;2;3;5;6;1;6;1;2;4;8;39
"130360 Santa Isabel do Rio Negro";-;-;1;-;-;-;-;-;-;-;1;2
"130370 Santo Antônio do Içá";-;-;7;-;2;-;-;1;1;-;-;11
"130380 São Gabriel da Cachoeira";1;-;3;-;-;-;-;-;-;2;3;9
"130390 São Paulo de Olivença";-;-;-;-;-;-;-;1;-;-;1;2
"130395 São Sebastião do Uatumã";1;1;-;2;-;-;-;-;-;1;2;7
"130400 Silves";-;2;-;-;-;-;-;-;-;-;1;3
"130406 Tabatinga";2;3;1;2;-;1;1;7;4;2;3;26
"130410 Tapauá";-;-;-;-;2;2;-;2;2;2;-;10
"130420 Tefé";10;8;17;10;5;18;20;6;23;11;12;140
"130423 Tonantins";1;9;-;-;2;-;-;-;-;-;-;12
"130426 Uarini";1;-;-;-;-;-;-;-;1;1;5;8
"130430 Urucará";-;1;1;1;1;-;-;-;-;-;3;7
"130440 Urucurituba";1;1;2;2;7;1;1;-;-;1;1;17
"140005 Alto Alegre";4;1;-;1;-;7;5;5;3;4;2;32
"140002 Amajari";-;2;-;-;-;-;1;-;4;6;2;15
"140010 Boa Vista";32;38;31;14;23;20;30;39;68;78;84;457
"140015 Bonfim";-;1;5;1;2;-;1;-;1;2;1;14
"140017 Cantá";-;-;3;1;-;1;3;2;-;5;-;15
"140020 Caracaraí";14;11;6;4;2;5;3;4;2;3;2;56
"140023 Caroebe";1;-;-;-;-;-;-;-;-;-;-;1
"140028 Iracema";1;-;-;-;-;1;-;-;-;-;1;3
"140030 Mucajaí";4;5;1;1;4;1;2;2;1;4;4;29
"140040 Normandia";-;-;-;1;2;-;-;-;-;-;-;3
"140045 Pacaraima";2;-;2;1;-;-;-;1;2;-;1;9
"140047 Rorainópolis";1;1;1;-;1;1;3;3;24;6;3;44
"140050 São João da Baliza";2;1;-;-;-;2;-;-;4;7;4;20
"140060 São Luiz";-;-;1;1;1;7;1;-;8;4;2;25
"140070 Uiramutã";-;-;-;-;-;-;1;-;-;-;-;1
"150010 Abaetetuba";118;102;80;96;105;87;246;371;94;51;44;1394
"150013 Abel Figueiredo";4;6;26;27;3;3;5;7;2;7;8;98
"150020 Acará";7;5;5;2;4;1;10;6;9;17;9;75
"150030 Afuá";5;10;5;18;3;6;9;40;9;47;24;176
"150034 Água Azul do Norte";33;62;31;5;8;6;5;7;11;3;19;190
"150040 Alenquer";3;1;7;11;6;4;2;6;-;2;5;47
"150050 Almeirim";6;-;5;1;9;5;3;7;11;4;9;60
"150060 Altamira";184;202;298;389;150;192;200;43;37;43;45;1783
"150070 Anajás";25;25;26;21;9;11;9;24;13;9;3;175
"150080 Ananindeua";167;187;120;98;142;170;128;101;177;161;76;1527
"150085 Anapu";21;10;14;17;2;8;10;7;6;3;8;106
"150090 Augusto Corrêa";50;50;49;29;64;27;27;26;33;68;38;461
"150095 Aurora do Pará";35;33;43;27;27;22;22;21;23;32;22;307
"150100 Aveiro";1;1;5;-;-;2;1;-;1;-;-;11
"150110 Bagre";1;3;-;1;11;4;1;2;1;2;1;27
"150120 Baião";1;7;3;4;4;5;8;14;6;7;3;62
"150125 Bannach";2;8;17;11;1;1;1;12;22;16;15;106
"150130 Barcarena";9;17;10;20;24;19;30;31;26;26;13;225
"150140 Belém";318;339;263;284;263;212;241;203;158;145;266;2692
"150145 Belterra";-;31;55;8;29;8;3;13;9;1;-;157
"150150 Benevides";3;9;8;7;6;10;7;6;5;2;5;68
"150157 Bom Jesus do Tocantins";6;13;5;14;81;14;11;4;10;20;19;197
"150160 Bonito";-;9;6;1;14;8;6;-;5;1;3;53
