"Município";"2007/Jan";"2007/Abr";"2007/Mai";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"292303 Novo Horizonte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;7;1;9;3;10;10;5;14;18;8;7;4;6;2;4;8;7;7;10;6;7;4;8;5;13;4;2;3;1;-;4;1;3;4;7;5;7;-;1;2;4;4;3;2;4;4;2;2;3;5;1;-;-;-;270
"292305 Novo Triunfo";-;-;-;-;-;-;-;-;-;1;1;-;3;1;-;5;2;9;21;2;1;4;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;1;2;-;-;3;-;1;1;2;4;-;3;1;2;-;2;1;-;3;2;-;2;1;-;2;7;-;3;5;-;1;1;2;1;5;-;2;4;2;-;1;2;4;3;2;1;5;2;2;-;2;7;4;6;5;5;4;5;7;3;2;2;-;1;1;1;-;2;2;-;-;-;212
"292310 Olindina";-;-;-;-;1;-;-;2;4;19;2;24;61;42;22;4;12;23;11;28;24;55;35;41;53;60;59;36;10;16;16;31;35;60;47;39;27;38;26;23;23;26;36;17;26;44;39;32;20;21;27;11;21;26;29;21;21;31;26;35;43;12;29;37;18;7;7;9;7;15;28;41;37;66;39;27;15;8;20;15;11;19;12;15;11;14;25;19;14;13;29;14;11;8;19;31;24;23;18;25;14;12;17;19;16;23;16;23;7;3;6;4;3;5;1;3;6;4;3;12;7;5;9;3;3;3;11;14;16;9;8;14;7;8;6;4;6;10;11;9;6;5;8;17;24;13;10;12;1;8;12;10;7;9;24;17;7;6;9;2918
"292320 Oliveira dos Brejinhos";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;3;5;1;1;2;1;-;1;-;-;3;-;-;-;-;-;1;-;-;1;-;-;1;1;1;2;1;1;-;1;6;5;-;3;3;1;1;-;1;1;-;-;-;1;-;3;-;3;2;2;-;2;2;-;-;-;1;-;-;-;2;4;1;2;3;-;1;-;-;81
"292330 Ouriçangas";-;-;-;-;-;-;-;-;-;-;-;1;4;1;1;1;1;-;-;-;-;1;7;1;3;4;2;3;1;2;3;1;1;-;1;-;-;-;1;2;5;8;2;1;1;-;2;1;2;1;3;-;-;1;1;4;-;1;1;1;2;3;1;1;4;-;-;2;-;3;1;3;-;-;1;3;1;-;3;3;3;2;1;1;-;1;5;1;-;-;1;-;-;-;1;5;5;5;-;-;3;-;-;1;-;1;-;1;-;-;-;1;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;155
"292335 Ourolândia";-;-;-;-;-;-;-;-;2;-;-;5;2;3;2;7;17;7;2;2;1;2;-;2;2;2;2;-;-;4;-;1;-;-;1;2;1;1;1;-;2;2;2;-;1;1;1;1;-;-;-;-;-;6;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;105
"292340 Palmas de Monte Alto";-;-;-;-;-;-;-;-;17;18;10;13;13;8;7;8;5;11;18;8;37;31;9;13;10;14;4;11;4;10;17;8;3;8;7;3;7;6;1;5;10;43;16;17;9;8;3;4;9;3;6;3;5;6;13;12;9;8;2;9;10;9;5;13;36;15;4;2;5;7;3;7;3;1;1;12;7;15;12;12;12;13;3;4;7;4;2;6;8;11;6;11;13;11;6;6;5;26;32;8;6;8;4;2;5;9;14;4;4;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3;5;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;-;1;1;-;-;-;-;990
"292350 Palmeiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;3;-;1;-;-;-;-;1;1;-;-;-;1;1;-;1;3;-;-;-;1;2;-;2;1;1;-;-;2;1;-;3;-;2;-;-;3;-;1;-;-;4;2;-;-;1;1;2;1;1;-;1;-;-;3;1;-;2;1;2;-;-;1;-;-;-;-;1;-;1;-;-;-;2;-;-;5;1;-;-;2;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;3;-;2;1;2;1;1;-;-;2;-;-;-;-;-;-;3;-;1;1;1;-;-;-;1;-;-;-;-;1;-;-;-;-;94
"292360 Paramirim";-;-;-;-;-;-;-;-;8;90;69;18;27;24;30;28;28;30;31;22;35;52;22;45;40;24;15;16;16;22;16;25;26;29;16;10;17;17;10;11;31;15;13;17;17;23;10;8;5;6;8;7;20;20;14;12;16;13;5;4;3;7;2;8;12;6;7;11;25;40;24;28;20;9;11;8;14;15;11;3;9;27;12;7;12;14;14;14;9;15;17;12;8;20;8;12;8;7;12;11;14;8;10;13;13;7;10;5;15;5;13;11;3;5;4;12;17;11;7;14;6;5;5;14;11;27;15;12;11;19;4;-;2;1;4;2;1;1;-;1;2;-;1;2;1;1;-;-;-;1;-;-;-;-;2;-;-;-;-;1993
"292370 Paratinga";-;-;-;-;-;-;-;-;6;16;11;4;17;6;9;18;21;22;10;27;13;5;9;15;9;16;13;11;14;25;10;19;33;21;20;2;19;23;10;30;58;28;22;12;20;26;22;26;17;3;22;23;35;32;46;70;53;11;30;19;33;39;19;34;14;13;12;13;8;-;25;19;12;13;27;18;15;13;8;10;10;16;3;6;10;12;8;10;18;13;9;4;4;-;2;12;4;7;5;6;5;11;1;2;7;9;7;-;2;-;-;1;1;-;1;-;1;1;2;3;1;2;4;3;6;2;3;2;3;6;3;7;10;2;8;4;7;4;8;-;-;-;-;9;5;8;17;13;10;2;4;8;7;9;5;9;14;13;7;1842
"292380 Paripiranga";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"292390 Pau Brasil";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2;-;2;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;4;-;-;1;-;1;-;-;1;-;2;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;8;1;3;2;-;-;-;-;1;2;-;4;1;2;2;-;1;1;-;1;-;-;-;-;-;-;-;1;-;-;-;67
"292400 Paulo Afonso";-;-;-;-;-;-;-;-;3;13;9;29;35;15;11;7;7;6;4;6;6;30;17;20;10;13;13;2;-;1;3;10;11;8;10;9;9;7;4;1;3;6;4;8;2;3;2;8;4;6;6;8;6;7;11;7;7;15;6;9;4;1;18;11;8;4;-;2;4;2;8;8;5;15;11;5;3;3;1;6;6;4;2;2;6;3;13;8;7;4;1;2;2;7;9;8;4;1;3;7;6;1;6;6;6;4;5;7;6;1;3;2;6;6;6;5;4;4;3;1;9;21;13;5;2;1;2;4;4;5;7;4;1;3;3;1;1;3;3;1;1;-;2;7;11;2;4;3;4;3;4;3;2;4;5;1;-;-;2;914
"292405 Pé de Serra";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"292410 Pedrão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292420 Pedro Alexandre";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"292430 Piatã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;12
"292440 Pilão Arcado";-;-;-;-;-;-;-;-;1;5;15;8;5;11;5;9;3;8;7;5;5;9;6;5;5;4;5;5;9;14;7;15;3;3;5;1;11;6;2;2;3;-;4;5;7;9;5;6;1;7;4;7;8;9;5;3;7;6;5;10;4;6;7;10;5;4;19;8;14;8;7;10;5;10;3;7;11;9;7;10;10;4;10;4;7;6;2;6;3;2;4;2;5;8;7;3;3;5;4;-;4;4;1;2;1;3;8;5;5;-;4;1;2;1;4;4;-;1;4;-;-;3;1;-;-;1;2;-;-;1;-;1;1;2;-;-;2;-;-;2;-;-;-;2;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;649
"292450 Pindaí";-;-;-;-;-;-;-;-;2;19;10;20;15;15;14;7;6;4;9;19;15;12;20;18;15;7;13;7;7;8;6;3;6;18;6;3;9;10;4;8;10;21;4;3;7;8;5;6;10;7;14;7;6;7;7;8;11;10;11;7;13;14;8;14;4;8;5;11;-;13;15;16;5;-;-;11;12;4;10;4;6;5;9;2;4;3;4;4;3;8;9;6;5;5;6;3;1;8;2;-;3;2;1;-;-;-;5;3;2;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;788
"292460 Pindobaçu";-;-;-;-;-;-;-;-;1;1;1;2;2;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;1;1;-;1;-;-;1;-;-;-;-;2;-;-;-;-;2;4;7;12;13;15;16;13;12;16;14;12;16;7;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;187
"292465 Pintadas";-;-;-;-;-;-;-;-;-;-;1;-;2;2;3;2;-;1;3;-;-;-;4;4;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;2;-;-;-;-;3;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;44
"292467 Piraí do Norte";-;-;-;-;-;-;-;-;2;13;9;6;3;3;1;5;5;4;3;6;5;2;2;2;1;1;1;-;2;1;3;2;3;3;5;4;2;2;2;-;5;3;1;4;1;1;1;-;-;2;2;2;1;2;1;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;142
"292470 Piripá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"292480 Piritiba";-;-;-;-;-;-;-;-;-;2;-;-;3;2;1;-;1;1;-;-;1;3;2;-;-;-;1;-;-;1;-;-;-;2;-;1;-;2;-;-;2;-;-;-;-;1;-;1;-;1;-;1;-;2;1;3;2;-;-;1;-;3;1;-;1;-;2;1;1;-;1;-;2;1;-;2;7;3;7;2;4;4;1;-;2;1;1;1;1;-;1;7;7;6;9;6;17;9;3;14;2;-;2;4;22;10;22;13;7;5;1;1;3;2;5;2;4;3;2;-;-;-;-;-;-;-;-;1;-;-;2;2;-;2;-;-;-;-;2;1;-;-;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;290
"292490 Planaltino";-;-;-;-;-;-;-;-;4;7;10;14;12;4;9;5;5;14;4;11;1;5;4;4;9;10;5;7;7;7;3;10;1;5;5;6;3;7;2;8;4;6;9;6;6;4;8;7;5;8;9;2;6;5;8;1;7;6;8;5;6;4;4;4;9;5;2;1;7;6;8;5;9;7;8;12;6;2;6;10;10;14;10;10;8;10;10;4;9;19;19;8;10;13;14;12;13;30;15;12;6;7;6;8;17;14;14;15;3;2;2;4;-;4;3;-;2;2;2;12;13;20;16;10;8;8;19;17;7;15;9;12;12;22;9;12;11;5;11;9;8;11;11;8;10;9;13;6;9;7;12;14;5;6;12;9;8;5;2;1232
"292500 Planalto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;2;-;-;-;-;26
"292510 Poções";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;-;-;-;3;2;1;4;1;1;1;3;-;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;1;1;-;2;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;2;1;-;-;1;-;-;-;-;-;1;-;8;10;5;4;16;27;17;11;24;7;12;22;16;15;6;15;12;15;4;4;3;9;5;10;9;10;8;7;17;8;13;8;11;12;10;17;15;13;13;7;6;17;11;7;8;11;5;8;9;9;10;6;2;8;2;2;7;2;5;4;3;9;1;3;2;1;-;-;652
"292520 Pojuca";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;1;1;1;1;1;-;-;1;1;-;-;2;1;-;1;4;-;-;-;1;1;-;-;1;-;-;1;2;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;41
"292525 Ponto Novo";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;13;16;14;13;14;7;20;14;18;18;7;7;9;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;11;24;12;18;7;3;8;4;3;2;2;2;1;10;-;-;8;-;2;2;-;2;3;1;2;7;2;3;6;-;4;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;335
"292530 Porto Seguro";-;-;-;-;-;-;-;-;1;4;3;1;1;1;1;2;-;1;1;1;3;-;2;3;2;1;1;-;1;-;-;1;3;1;2;2;1;-;1;1;-;1;1;1;3;-;-;-;-;1;-;-;2;1;1;1;2;5;1;3;2;-;1;-;-;1;1;1;-;-;2;2;-;-;4;-;1;4;4;3;-;2;-;-;2;1;1;2;-;1;-;1;-;-;3;-;2;1;2;3;1;1;1;2;-;1;-;-;2;3;2;1;3;-;2;2;2;-;-;6;1;-;2;-;2;-;-;1;3;5;2;3;2;2;4;-;3;2;-;1;-;3;-;-;2;2;1;-;1;3;-;3;1;1;5;-;-;-;-;196
"292540 Potiraguá";-;-;-;-;-;-;-;-;4;7;4;3;3;7;1;2;3;1;2;5;2;1;1;-;-;1;2;-;1;-;3;4;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;73
"292550 Prado";-;-;-;-;-;-;-;-;1;4;3;3;-;-;-;-;1;1;-;-;-;1;1;-;-;2;-;-;1;1;2;1;-;3;1;2;-;1;3;1;-;-;1;-;1;1;1;1;-;3;2;-;1;-;1;2;-;1;1;3;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;4;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;1;1;-;-;1;3;1;-;-;-;-;85
"292560 Presidente Dutra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;6;3;5;3;1;3;4;2;3;8;2;2;5;6;8;5;3;4;1;4;1;3;3;2;-;3;5;3;2;3;-;1;-;-;2;3;-;4;-;-;-;-;-;124
"292570 Presidente Jânio Quadros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"292575 Presidente Tancredo Neves";-;-;-;-;-;-;-;-;-;1;6;5;10;3;-;1;-;4;9;5;5;-;4;5;3;5;2;4;3;3;-;-;1;1;2;1;2;-;-;-;1;-;1;2;-;1;-;2;-;-;-;-;2;1;1;1;-;-;-;-;2;-;-;-;-;-;1;1;2;1;-;-;-;-;1;-;-;-;-;1;2;-;-;-;-;-;-;1;-;1;-;1;-;-;1;-;-;-;1;1;1;-;2;-;1;-;1;1;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;2;1;-;1;-;1;3;3;5;-;2;6;3;6;3;8;1;1;-;2;3;1;4;19;5;9;1;1;-;215
"292580 Queimadas";-;-;-;-;-;-;-;-;1;1;1;-;1;2;-;-;-;1;1;-;-;3;-;1;-;1;-;1;-;-;2;2;-;1;-;1;2;-;-;-;2;1;1;2;2;-;-;-;2;2;-;-;1;1;2;-;1;2;1;1;-;-;1;-;-;1;-;-;2;2;-;4;3;-;1;2;-;-;1;-;1;1;-;3;-;1;1;-;-;2;-;1;1;1;3;1;1;-;-;-;3;1;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;8;7;5;10;28;20;14;16;-;25;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5;5;21;13;13;11;14;5;15;3;11;12;5;-;358
"292590 Quijingue";-;-;-;-;-;-;-;-;-;1;2;-;2;1;1;-;-;1;1;1;3;1;1;1;-;-;2;3;-;-;1;-;-;1;-;-;-;-;1;1;-;5;3;2;-;3;1;-;2;3;-;-;2;-;2;-;-;2;-;1;1;1;-;2;1;1;1;3;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;2;-;-;-;-;-;-;2;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77
"292593 Quixabeira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;19
