"Município";"2007/Jan";"2007/Abr";"2007/Mai";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"250403 Capim";-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;1;1;-;-;-;1;1;1;-;-;1;-;-;-;-;2;-;-;1;-;-;-;-;-;-;1;2;1;-;-;1;-;-;-;-;-;1;-;-;1;3;-;-;-;-;1;1;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;2;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;36
"250407 Caraúbas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"250410 Carrapateira";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;12
"250415 Casserengue";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;-;1;-;-;-;1;1;2;-;-;1;-;4;1;-;-;3;7;2;1;-;1;-;1;-;-;1;-;1;-;-;2;-;2;1;1;-;1;1;2;4;3;5;5;19;11;3;2;4;7;10;5;4;1;9;3;6;7;4;3;2;2;6;9;3;2;3;7;12;16;9;7;3;4;9;2;17;16;9;5;4;4;2;5;-;3;3;10;7;17;15;8;22;13;7;2;4;9;7;4;5;6;16;1;4;4;4;1;-;1;-;4;1;4;3;1;-;1;1;1;-;4;1;5;3;3;4;2;-;-;529
"250420 Catingueira";-;-;-;-;-;-;-;-;-;-;3;2;-;1;-;-;-;1;-;-;2;2;1;1;-;-;-;-;-;-;2;2;6;3;1;2;-;-;1;-;2;1;1;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;1;-;-;1;-;1;1;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;63
"250430 Catolé do Rocha";-;-;-;-;-;-;-;-;-;52;82;75;28;17;18;9;13;8;7;18;18;18;53;41;20;3;1;3;1;4;32;57;42;69;35;21;14;18;16;12;18;14;25;27;31;39;69;39;10;15;21;16;30;29;42;42;25;27;57;64;68;64;40;75;49;27;25;11;-;2;2;1;1;3;12;12;9;10;10;8;14;40;9;9;15;8;6;7;5;3;6;24;18;9;9;7;-;1;3;1;3;4;2;1;1;4;3;2;2;1;1;3;2;-;-;-;-;-;1;1;-;-;1;-;-;2;-;-;3;1;1;2;2;1;2;-;-;1;-;-;1;1;-;-;-;-;1;-;-;3;1;-;1;-;2;-;1;-;1;2127
"250435 Caturité";-;-;-;-;-;-;-;-;1;3;3;-;3;2;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;1;-;-;1;1;-;-;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;29
"250440 Conceição";-;-;-;-;-;-;-;-;-;1;7;25;18;26;4;7;7;6;8;-;2;2;35;19;15;5;11;4;3;19;29;32;29;21;10;1;4;12;11;8;1;-;1;3;1;1;1;5;1;3;14;18;-;1;10;-;-;1;1;1;1;1;-;-;-;-;-;2;1;9;9;7;5;10;6;5;4;6;5;12;25;23;22;7;11;5;9;8;9;7;4;6;2;10;7;7;6;3;1;10;6;10;3;5;9;8;13;11;6;7;3;1;4;4;4;4;2;2;3;11;2;4;1;1;3;2;2;2;4;3;2;3;2;3;1;2;4;2;2;2;1;3;1;-;3;3;1;2;4;1;1;-;2;-;1;-;1;1;1;898
"250450 Condado";-;-;-;-;-;-;-;-;-;1;6;2;-;-;-;1;1;-;-;-;-;1;1;7;5;2;1;-;2;-;4;5;2;3;3;3;2;1;1;3;4;1;-;2;1;5;1;-;1;1;-;-;1;-;-;1;1;1;1;3;1;-;-;1;1;-;-;1;-;-;-;-;1;2;-;1;-;-;-;1;-;-;1;-;1;1;1;-;1;-;1;2;1;3;-;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;114
"250460 Conde";-;-;-;-;-;-;-;-;1;10;10;3;4;9;5;2;4;2;5;-;2;2;3;4;3;4;2;2;5;2;5;8;5;9;5;7;2;3;4;8;9;4;2;4;1;3;4;4;2;3;2;3;3;3;1;2;5;-;4;3;5;2;9;7;5;9;1;2;4;-;3;1;4;1;3;2;-;2;-;1;2;3;1;1;2;-;5;2;-;-;5;6;-;2;-;2;3;1;2;2;2;-;4;1;1;2;9;5;2;7;4;-;3;4;3;4;-;4;1;-;-;-;-;1;2;1;1;-;-;-;-;-;-;-;-;-;-;2;-;-;2;1;-;-;1;-;-;1;-;-;1;-;1;-;-;1;-;-;-;373
