"Município";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"240810 Natal";-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;3
"250050 Alagoinha";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"250355 Cacimbas";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"250400 Campina Grande";-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;3
"251370 Santa Rita";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260410 Caruaru";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"260520 Escada";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"260750 Itaíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"260880 Lajedo";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"261460 Tabira";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"270770 Rio Largo";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"280030 Aracaju";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"280070 Brejo Grande";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"280120 Canindé de São Francisco";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"280190 Cumbe";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"280270 Ilha das Flores";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"280570 Propriá";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"290150 Anguera";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"290320 Barreiras";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"290850 Conceição do Jacuípe";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291185 Heliópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"291280 Ibirapuã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"292220 Muniz Ferreira";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"292595 Rafael Jambeiro";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"292740 Salvador";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"292880 Santo Estêvão";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"310620 Belo Horizonte";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"310670 Betim";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;2
"310730 Bocaiúva";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"311150 Campos Altos";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"311450 Carmópolis de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"311860 Contagem";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"312980 Ibirité";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"313050 Ilicínea";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"313550 Jequeri";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"315280 Prata";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"315460 Ribeirão das Neves";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"316000 Santo Antônio do Aventureiro";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"316680 Serra do Salitre";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"317020 Uberlândia";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
"320310 Jerônimo Monteiro";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330045 Belford Roxo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"330100 Campos dos Goytacazes";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330170 Duque de Caxias";-;-;2;-;-;-;-;-;1;-;-;1;-;-;-;-;4
"330270 Maricá";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"330350 Nova Iguaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"330455 Rio de Janeiro";-;-;-;-;-;2;1;-;-;-;1;-;2;-;-;-;6
"330490 São Gonçalo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"350860 Cachoeira Paulista";-;-;-;-;-;1;2;-;2;-;-;-;-;-;-;-;5
"351060 Carapicuíba";-;-;-;-;-;-;-;-;-;-;2;2;1;1;1;2;9
"351370 Descalvado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"351510 Embu-Guaçu";-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;4
"351880 Guarulhos";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"351907 Hortolândia";-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;4
"352590 Jundiaí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"352840 Mairinque";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"352940 Mauá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"353470 Ourinhos";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"353800 Pindamonhangaba";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3
"354730 Santana de Parnaíba";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"354780 Santo André";-;-;-;1;-;-;-;-;-;-;-;-;4;-;-;-;5
"354890 São Carlos";-;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;4
"355030 São Paulo";-;-;3;-;1;1;2;2;3;-;5;5;3;-;-;1;26
"355060 São Roque";-;-;-;-;-;-;-;-;-;1;2;-;-;1;-;-;4
"355600 Urupês";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"411190 Jaguapitã";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"411820 Paranaguá";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
"411915 Pinhais";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"411940 Piraí do Sul";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"412600 São Sebastião da Amoreira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"420240 Blumenau";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420910 Joinville";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"430535 Charqueadas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"430770 Esteio";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"430920 Gravataí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"430940 Guaporé";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"431340 Novo Hamburgo";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"500620 Nova Andradina";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"510790 Sinop";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"510860 Vila Rica";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"520025 Águas Lindas de Goiás";-;-;-;1;1;1;1;-;1;-;-;-;-;-;-;-;5
"520235 Arenópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"520450 Caldas Novas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"520910 Goiatuba";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"521020 Iporá";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"521250 Luziânia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"521740 Pires do Rio";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"522185 Valparaíso de Goiás";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"530010 Brasília";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";3;4;14;8;15;16;18;16;19;12;19;22;26;14;9;13;228
