,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015
143,292300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,292430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,292575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,292600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,292740,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
148,292910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,292905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,292937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,293135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,293320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,293330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,310350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
155,310560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,310620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,310670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,310740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,310830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,311140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,311300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,311430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,311510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,311580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,311860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,312080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,312090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,312120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,312130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,312140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,312320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,312460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,312670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,312710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,312790,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
176,312840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,313065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,313130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,313170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,313240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,313390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,313420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,313505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,313510,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
185,313520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,313670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,313835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,313840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,313980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,314000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,314080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,314160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,314320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,314340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,314330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,314380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,314470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,314530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,314600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,314610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,314710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,314720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,314820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,315020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,315130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,315150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,315213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,315670,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
209,315770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210,315780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
