,MUNCOD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
74,330010,0,0,0,0,0,0,0,0,1,0,0,0,0
75,330260,0,0,0,0,0,0,0,0,0,1,0,0,0
76,330455,0,0,0,0,0,0,0,0,3,0,0,0,0
77,330490,0,0,0,0,0,0,1,0,0,0,0,0,0
78,350280,0,0,0,0,0,0,0,0,1,0,0,0,0
79,350320,0,0,0,0,0,0,0,0,0,0,0,1,0
80,350610,0,0,0,0,1,0,0,0,0,0,0,0,0
81,350950,0,1,0,0,0,0,1,0,0,1,0,0,0
82,351300,0,0,0,0,0,0,1,0,0,0,0,0,0
83,351380,0,0,0,0,0,0,0,0,0,0,1,0,0
84,351500,0,0,0,0,0,0,0,0,0,0,0,1,0
85,352400,0,0,0,0,0,0,0,0,0,0,1,0,0
86,352600,0,0,0,0,0,0,0,0,1,0,0,0,0
87,352900,0,0,0,0,0,0,0,1,0,0,0,0,0
88,353130,0,0,0,0,0,0,0,1,0,0,0,0,0
89,353300,0,0,0,0,1,0,0,0,0,0,0,0,0
90,353440,0,0,0,0,0,0,0,0,0,1,0,0,0
91,353490,0,0,0,1,0,0,0,0,0,0,0,0,0
92,353630,1,0,0,0,0,0,0,0,0,0,0,0,0
93,354120,0,0,0,0,0,0,0,0,0,0,0,0,1
94,354150,0,0,0,0,0,0,0,0,0,0,0,0,1
95,354260,0,0,0,0,0,0,0,1,0,0,0,0,0
96,354290,0,0,0,0,0,0,0,0,1,0,0,0,0
97,354550,0,0,0,0,0,0,0,0,0,0,0,0,1
98,354870,0,0,1,0,0,0,0,0,0,0,0,0,0
99,354980,0,0,0,0,0,0,1,0,0,0,0,0,0
100,355030,0,0,1,1,0,1,0,2,0,0,0,0,0
101,355170,0,1,0,0,0,0,0,0,0,0,0,0,0
102,355220,1,0,0,0,0,0,0,0,0,0,0,0,0
103,355280,0,0,0,0,0,0,0,0,0,0,0,1,0
104,410370,0,0,0,0,0,0,0,0,0,1,0,0,0
105,410400,0,0,1,0,0,0,0,0,0,0,0,0,0
106,411130,0,0,0,0,1,0,0,1,0,0,0,2,0
107,420610,1,0,0,0,0,0,0,0,0,0,0,0,0
108,421660,0,0,0,0,0,0,0,1,0,0,0,0,0
109,431490,0,0,0,1,0,1,0,0,0,0,0,0,0
110,431540,0,0,0,0,0,0,0,0,1,0,0,0,0
111,520080,0,0,0,0,0,0,0,0,0,0,0,0,1
