,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total,MUNCOD
291,0,0,2,2,0,1,1,1,0,0,1,8,160020
292,0,0,0,0,0,1,0,0,0,0,1,2,160021
293,0,0,0,0,0,1,0,2,1,0,0,4,160023
294,9,0,1,3,1,0,1,2,3,2,4,26,160027
295,15,16,19,22,15,27,19,32,24,31,42,262,160030
296,0,0,0,3,0,0,0,1,1,2,3,10,160040
297,0,2,2,2,1,1,1,1,0,1,1,12,160050
298,0,0,0,1,0,2,0,0,1,3,3,10,160015
299,0,0,0,0,0,1,1,3,0,1,2,8,160053
300,5,7,4,4,3,9,11,10,6,6,5,70,160060
301,0,1,0,0,0,1,0,0,0,0,0,2,160080
302,0,0,0,0,0,0,0,0,0,0,1,1,170025
303,1,0,0,0,0,0,0,2,1,0,0,4,170030
304,0,1,2,0,1,0,0,0,0,0,0,4,170035
305,0,1,0,0,0,1,1,1,2,0,0,6,170040
306,1,2,0,0,0,0,0,3,1,1,1,9,170070
307,1,0,0,1,0,0,0,1,0,3,2,8,170100
308,0,0,0,0,0,0,1,0,0,0,0,1,170105
309,0,0,0,1,0,0,0,1,0,2,1,5,170110
310,1,0,0,1,0,0,0,1,2,2,1,8,170130
311,0,0,0,0,0,0,0,0,3,0,0,3,170190
312,1,1,2,0,0,0,1,0,0,1,1,7,170200
313,7,5,10,5,10,11,4,11,11,14,11,99,170210
314,1,1,0,0,0,0,0,0,0,0,0,2,170215
315,1,5,0,1,2,3,4,2,1,0,5,24,170220
316,0,0,0,1,3,0,0,0,0,0,0,4,170230
317,0,0,0,0,2,0,1,3,1,2,1,10,170240
318,0,1,1,0,1,1,1,2,2,0,2,11,170255
319,0,0,1,0,0,0,0,0,0,0,0,1,170270
320,0,0,0,2,1,1,0,1,2,1,0,8,170290
321,0,0,0,0,0,0,1,1,0,0,0,2,170300
322,0,0,1,1,0,0,0,1,1,0,1,5,170310
323,0,0,0,0,0,0,0,0,0,0,2,2,170330
324,1,0,0,0,0,0,0,1,0,0,0,2,170360
325,1,0,0,2,1,2,0,0,0,0,0,6,170370
326,0,0,0,0,1,0,0,1,1,0,0,3,170380
327,2,0,1,0,0,0,0,1,0,0,0,4,170384
328,0,1,1,1,2,0,0,0,1,0,0,6,170386
329,0,0,1,0,2,0,0,0,0,0,0,3,170388
330,0,1,0,0,0,1,0,0,0,0,0,2,170389
