,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNCOD
203,4,0,0,0,0,0,0,1,0,1,0,150445
204,0,0,2,0,0,0,1,5,11,17,4,150450
205,6,0,0,0,0,0,0,0,0,0,1,150460
206,16,6,9,20,11,5,0,0,0,1,2,150470
207,0,0,0,0,0,0,0,0,0,0,1,150475
208,15,0,3,0,1,5,4,3,10,11,11,150480
209,6,0,0,0,0,0,0,1,7,15,15,150490
210,9,0,0,0,0,1,0,0,0,0,0,150495
211,2,0,1,1,0,0,0,0,0,1,0,150497
212,4,0,0,0,2,0,0,0,1,0,1,150500
213,5,0,0,1,0,0,0,0,0,0,2,150503
214,6,1,4,0,0,1,3,0,5,4,11,150506
215,0,0,0,0,1,0,0,2,0,2,0,150510
216,1,0,0,1,0,7,11,18,13,3,18,150520
217,3,0,3,6,7,14,5,2,2,1,1,150530
218,6,0,1,2,0,0,0,1,1,0,1,150540
219,0,0,0,0,0,0,1,0,0,0,0,150543
220,0,1,3,2,2,14,16,6,0,11,18,150548
221,1,0,0,0,0,0,0,0,0,0,1,150549
222,11,3,0,0,4,1,1,4,2,4,1,150550
223,28,1,2,4,3,0,3,4,6,15,9,150553
224,1,0,0,0,0,0,0,1,0,1,1,150555
225,0,0,0,0,0,0,0,0,0,1,0,150560
226,0,0,0,4,0,0,0,0,1,2,0,150563
227,1,0,0,3,0,0,0,3,9,8,0,150565
228,1,0,0,0,1,0,0,0,6,6,10,150570
229,1,0,0,1,1,0,0,1,0,0,0,150580
230,0,0,0,0,0,5,3,1,1,0,0,150590
231,1,0,0,0,0,1,0,0,11,1,0,150600
232,0,1,0,0,0,0,1,1,0,0,0,150610
233,0,0,0,0,0,0,0,0,0,0,2,150611
234,13,0,1,1,1,0,0,0,2,0,1,150613
235,29,0,0,0,0,2,0,0,0,0,0,150616
236,23,1,0,0,0,0,0,0,0,1,0,150618
237,6,0,1,0,0,0,1,0,0,1,1,150619
238,2,0,0,0,4,0,0,1,1,2,1,150620
239,2,0,0,0,0,0,0,0,0,0,0,150635
240,0,0,0,1,0,0,0,1,1,0,0,150640
241,7,0,0,0,0,1,0,1,1,2,2,150650
242,2,0,1,0,1,0,0,0,1,0,1,150655
243,1,1,0,0,0,0,0,0,0,0,0,150658
244,55,1,4,0,3,1,1,0,7,16,9,150660
245,35,8,16,12,37,59,23,23,50,15,9,150670
246,13,6,7,8,8,8,3,11,2,6,11,150680
247,3,0,0,0,1,1,0,0,0,1,0,150690
248,1,0,0,0,0,0,0,0,0,0,1,150700
249,0,0,0,1,0,0,0,0,0,0,0,150710
250,2,1,0,0,0,0,0,2,0,1,1,150715
251,5,0,2,0,1,0,0,1,0,0,1,150720
252,35,1,6,13,3,3,3,1,3,5,1,150730
253,6,0,1,0,0,0,0,0,0,0,2,150740
254,8,0,0,0,0,0,0,0,0,0,0,150745
255,1,0,0,0,0,0,0,0,0,0,0,150746
256,7,0,0,0,0,0,1,2,8,12,0,150747
257,2,0,0,1,0,0,1,1,1,0,0,150750
258,4,0,0,2,1,0,0,0,0,0,4,150760
259,0,0,2,4,11,6,1,0,0,0,0,150770
260,0,0,2,0,6,2,8,55,1,6,2,150775
261,0,1,0,0,0,0,1,4,2,16,9,150780
262,0,0,1,0,0,0,0,0,0,0,0,150790
263,1,0,8,1,18,4,2,4,1,5,7,150795
264,1,0,0,0,0,1,0,0,0,0,0,150796
265,0,0,0,0,3,0,0,0,0,0,0,150797
266,3,0,8,1,2,2,1,1,0,0,1,150800
267,0,0,0,0,0,0,0,0,10,13,7,150803
268,0,0,5,13,8,29,4,2,13,79,47,150805
269,2,0,1,0,0,0,0,0,0,0,0,150808
270,5,4,15,1,1,1,2,1,0,3,2,150810
271,47,0,1,0,0,0,0,0,0,0,0,150815
272,14,0,0,2,0,0,0,0,0,1,1,150820
273,8,9,20,30,27,23,13,28,21,20,34,150830
274,0,0,0,1,0,1,0,0,0,0,0,150835
275,19,1,3,0,1,2,1,4,0,1,1,150840
276,0,0,1,0,0,0,1,1,1,1,1,160010
277,0,6,4,7,1,2,2,0,1,0,1,160020
278,34,0,1,0,0,1,0,0,0,1,0,160027
279,38,2,2,4,7,7,6,10,5,5,13,160030
280,0,0,5,5,0,2,6,2,0,4,0,160050
281,0,0,0,0,0,0,0,1,0,0,0,160015
282,7,2,1,0,1,1,0,0,0,0,0,160053
283,2,0,0,0,0,2,1,3,2,0,1,160060
284,1,0,0,0,0,0,0,0,0,0,0,160005
285,6,0,0,0,0,0,1,1,0,0,0,160080
286,0,0,0,0,0,0,1,0,0,0,1,170025
287,0,0,0,0,1,0,0,0,0,1,1,170030
288,1,0,2,0,1,0,2,1,0,5,0,170035
289,9,0,0,0,0,0,0,0,3,0,0,170040
290,0,0,3,0,7,1,3,2,0,0,2,170070
291,1,3,0,0,0,2,0,0,0,0,1,170100
292,0,0,0,0,2,0,0,0,0,0,0,170105
293,2,0,0,1,2,3,2,0,1,2,0,170110
294,1,1,0,2,1,1,0,0,0,0,0,170130
295,9,0,0,0,1,0,0,0,0,2,0,170190
296,0,1,0,1,1,0,0,0,0,0,1,170200
297,28,37,23,21,52,32,43,22,18,18,14,170210
298,1,2,0,0,0,0,0,0,0,0,0,170215
299,3,6,7,7,7,11,6,5,5,2,1,170220
300,3,0,1,12,3,1,0,2,3,3,4,170230
301,4,2,1,2,0,2,0,1,2,0,1,170240
302,3,15,27,3,23,17,2,10,1,1,0,170255
303,0,0,0,0,0,0,1,0,0,0,1,170270
304,2,12,4,0,8,6,5,3,4,0,0,170290
305,0,1,1,0,1,2,0,1,0,1,0,170300
306,0,0,1,2,0,0,0,0,0,0,0,170305
307,0,0,0,1,1,1,0,0,0,0,0,170310
308,3,0,0,0,0,0,0,0,0,2,0,170320
309,0,0,0,0,0,0,0,2,2,0,0,170330
310,2,0,0,0,1,0,1,0,2,0,1,170370
311,0,3,3,0,3,1,1,3,0,0,0,170380
312,0,2,3,2,4,0,0,1,0,1,0,170382
313,0,1,0,1,1,0,2,0,2,0,0,170384
314,1,0,0,0,1,1,1,0,0,1,0,170388
315,1,6,1,1,1,1,1,0,0,0,0,170389
316,1,1,0,0,0,1,0,0,1,1,0,170390
317,0,1,0,0,0,0,0,1,0,0,0,170410
318,1,1,0,0,0,0,0,0,0,0,0,170510
319,1,0,0,0,0,0,0,1,0,0,0,170460
320,6,4,3,1,2,0,1,2,3,2,1,170550
321,4,0,2,0,0,0,1,0,1,0,1,171670
322,0,0,0,0,0,0,2,0,0,0,1,170555
323,0,0,0,0,0,0,0,1,0,0,0,170560
324,0,2,0,1,0,0,0,1,0,0,0,170600
325,7,0,0,1,1,0,0,0,1,1,1,170610
326,0,0,0,0,0,0,2,0,0,0,0,170625
327,0,1,0,0,0,0,1,0,0,1,0,170650
328,7,1,2,0,1,0,2,0,2,0,1,170700
329,5,1,0,0,3,1,0,0,0,0,1,170710
330,0,1,0,0,1,0,0,2,0,0,0,170720
331,0,0,1,1,1,0,2,0,0,1,0,170730
332,3,3,7,0,6,4,2,1,2,0,0,170740
