,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNCOD
160,269,177,167,150,215,180,192,247,239,206,241,150080
161,3,4,8,10,3,15,15,5,14,8,5,150085
162,8,7,12,16,12,13,11,4,13,15,16,150090
163,2,3,4,1,3,8,13,12,11,17,6,150095
164,0,0,2,2,0,2,1,1,1,1,0,150100
165,0,9,1,1,2,2,2,5,7,10,7,150110
166,3,4,3,2,1,2,4,9,8,8,13,150120
167,1,1,0,0,1,0,2,2,5,1,5,150125
168,8,26,8,8,23,24,19,27,21,25,27,150130
169,721,728,579,673,782,777,796,845,822,899,877,150140
170,1,2,4,5,6,0,8,4,13,2,8,150145
171,14,8,17,14,11,23,17,27,30,28,27,150150
172,1,0,0,1,7,5,4,5,5,5,2,150157
173,1,1,1,1,0,2,2,1,9,1,4,150160
174,45,42,64,86,65,58,42,57,72,78,70,150170
175,0,6,20,3,2,3,4,13,11,19,8,150172
176,4,0,3,1,1,1,0,0,0,0,0,150175
177,2,5,2,10,2,8,13,10,7,4,11,150178
178,6,16,17,24,41,45,36,25,33,59,70,150180
179,2,6,1,3,1,0,13,8,6,4,3,150190
180,1,0,4,0,0,4,1,3,5,11,8,150200
181,2,1,1,1,2,2,1,0,2,1,2,150195
182,38,65,37,71,49,45,53,49,49,37,26,150210
183,1,3,4,4,8,17,14,6,8,11,20,150215
184,28,31,25,20,16,31,29,22,21,24,29,150220
185,3,8,4,5,2,12,8,10,5,7,11,150230
186,57,51,41,42,37,39,59,78,77,93,84,150240
187,0,0,0,0,0,1,0,0,0,1,1,150250
188,1,0,2,1,2,0,2,4,1,2,3,150260
189,25,35,54,47,42,28,30,15,20,18,17,150270
190,4,0,1,2,3,1,3,0,2,1,4,150275
191,1,1,2,0,0,2,1,0,0,3,0,150276
192,1,1,1,1,1,0,1,7,4,2,3,150277
193,0,0,1,3,3,4,5,3,9,9,11,150280
194,1,1,1,1,1,0,2,0,1,3,2,150285
195,0,7,2,4,7,1,20,7,6,6,6,150290
196,25,27,45,6,7,12,16,11,9,4,8,150293
197,4,4,2,5,2,1,9,10,5,2,2,150295
198,0,0,0,0,0,0,1,0,0,0,0,150300
199,2,2,1,1,5,9,11,1,2,4,3,150304
200,1,4,3,1,1,6,7,1,1,5,4,150307
201,0,8,7,2,3,1,8,1,4,1,7,150309
202,1,2,0,1,2,5,4,2,6,7,12,150310
203,3,5,8,3,9,3,10,22,5,13,12,150320
204,28,33,16,9,10,12,8,16,26,23,18,150330
205,0,3,0,3,0,2,1,7,1,3,3,150340
206,1,1,0,1,2,3,1,5,3,6,5,150345
207,2,4,9,5,3,6,3,9,0,5,10,150350
208,24,25,20,36,24,28,18,26,44,47,57,150360
209,2,3,4,3,5,1,2,3,4,8,4,150370
210,1,2,2,0,1,1,9,11,5,3,3,150375
211,7,5,9,7,10,21,19,10,1,4,5,150380
212,3,5,1,4,5,6,2,4,11,2,3,150390
213,6,4,0,0,5,4,11,2,15,1,6,150400
214,11,3,8,2,10,6,16,6,6,21,19,150405
215,4,1,2,0,1,3,2,4,4,3,0,150410
216,46,32,38,49,48,51,59,64,83,75,70,150420
217,1,0,0,3,1,2,6,1,4,7,6,150430
218,4,6,2,3,7,3,3,4,2,1,12,150440
219,39,17,24,43,38,43,41,61,55,61,52,150442
220,3,2,13,9,11,10,8,5,6,9,14,150445
221,0,1,0,2,1,7,5,4,6,5,5,150450
