"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"521770 Pontalina";29;27;6;17;33;31;12;7;11;52;22;247
"521800 Porangatu";90;89;67;24;39;35;45;45;33;18;12;497
"521805 Porteirão";-;-;1;2;1;-;-;1;-;-;-;5
"521810 Portelândia";8;8;6;4;8;5;4;5;2;1;3;54
"521830 Posse";44;22;44;68;51;77;53;37;34;53;35;518
"521839 Professor Jamil";2;4;-;1;2;1;1;1;2;2;-;16
"521850 Quirinópolis";30;23;31;26;36;26;26;29;21;30;36;314
"521860 Rialma";36;28;27;41;40;32;20;19;7;9;10;269
"521870 Rianápolis";5;8;7;3;4;6;3;2;-;3;2;43
"521878 Rio Quente";1;2;1;1;1;-;-;-;2;-;-;8
"521880 Rio Verde";106;91;110;82;78;89;93;81;75;68;53;926
