"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"150616 Rio Maria";-;1;-;-;-;-;3;1;-;1;-;6
"150618 Rondon do Pará";2;-;1;-;1;-;1;1;1;1;3;11
"150619 Rurópolis";1;2;-;-;1;3;2;3;1;11;2;26
"150620 Salinópolis";3;5;3;2;1;-;-;3;5;2;6;30
"150630 Salvaterra";-;1;3;1;3;-;1;1;-;2;-;12
"150635 Santa Bárbara do Pará";-;1;2;2;2;-;-;1;1;-;3;12
"150640 Santa Cruz do Arari";-;-;-;1;-;-;-;-;-;-;-;1
"150650 Santa Izabel do Pará";8;4;2;1;3;1;5;6;6;5;9;50
"150655 Santa Luzia do Pará";1;2;2;1;1;1;-;1;-;3;2;14
"150658 Santa Maria das Barreiras";-;-;1;2;-;1;-;-;-;1;1;6
"150660 Santa Maria do Pará";2;-;1;1;1;-;3;2;1;3;-;14
"150670 Santana do Araguaia";2;-;1;-;-;1;-;2;1;1;-;8
"150680 Santarém";21;32;17;16;42;51;45;39;35;35;14;347
"150690 Santarém Novo";-;1;-;-;-;-;-;-;-;-;-;1
"150700 Santo Antônio do Tauá";-;-;-;3;1;2;1;4;2;2;3;18
"150710 São Caetano de Odivelas";1;-;1;1;-;-;2;2;1;-;1;9
"150715 São Domingos do Araguaia";1;2;-;1;-;2;-;1;1;1;-;9
"150720 São Domingos do Capim";-;-;2;2;-;-;1;-;-;-;1;6
"150730 São Félix do Xingu";9;1;3;4;2;-;2;6;1;1;1;30
"150740 São Francisco do Pará";1;-;-;2;-;-;1;3;-;1;-;8
"150745 São Geraldo do Araguaia";-;-;4;1;1;2;-;-;-;2;1;11
"150746 São João da Ponta";-;-;-;-;-;-;-;1;-;1;-;2
"150747 São João de Pirabas";-;-;1;-;-;-;1;-;-;-;2;4
"150750 São João do Araguaia";-;-;-;-;-;-;-;-;-;1;-;1
"150760 São Miguel do Guamá";2;1;2;-;3;4;2;4;5;5;4;32
"150770 São Sebastião da Boa Vista";-;2;-;-;-;-;-;1;2;1;-;6
"150775 Sapucaia";-;-;1;-;-;-;-;2;-;-;-;3
"150780 Senador José Porfírio";1;-;2;-;2;-;-;-;-;2;1;8
"150790 Soure";1;-;-;-;-;-;-;1;2;2;-;6
"150795 Tailândia";11;6;2;6;2;3;3;11;7;8;9;68
"150796 Terra Alta";-;2;-;-;-;-;-;1;-;-;-;3
"150797 Terra Santa";-;-;-;1;1;-;-;1;-;-;1;4
"150800 Tomé-Açu";5;9;3;4;1;4;7;14;13;8;8;76
"150803 Tracuateua";-;2;1;-;-;-;-;2;1;-;-;6
"150805 Trairão";-;2;-;1;2;1;2;1;-;-;1;10
"150808 Tucumã";2;1;3;1;1;1;-;-;1;3;6;19
"150810 Tucuruí";8;8;5;7;3;1;11;3;8;10;5;69
"150812 Ulianópolis";-;2;7;-;3;1;2;3;8;3;3;32
"150815 Uruará";12;1;4;3;3;-;-;1;2;1;12;39
"150820 Vigia";-;5;2;-;1;2;1;2;4;2;4;23
"150830 Viseu";4;-;1;-;1;1;2;-;-;3;1;13
"150835 Vitória do Xingu";2;1;1;-;-;-;1;1;-;-;-;6
"150840 Xinguara";1;1;1;2;2;3;1;3;1;3;3;21
"160020 Calçoene";-;1;-;-;-;-;-;-;-;-;-;1
"160021 Cutias";-;-;-;1;-;-;-;-;-;-;-;1
"160023 Ferreira Gomes";-;-;-;-;-;-;-;-;1;-;2;3
"160027 Laranjal do Jari";-;-;-;-;2;2;1;1;1;-;-;7
"160030 Macapá";28;20;26;31;36;18;15;9;5;14;10;212
"160040 Mazagão";-;-;-;-;1;-;-;-;-;-;-;1
"160050 Oiapoque";-;-;-;-;-;-;-;1;-;-;-;1
"160015 Pedra Branca do Amapari";-;-;-;-;-;-;1;-;-;-;1;2
"160053 Porto Grande";1;-;1;1;-;-;1;-;-;-;1;5
"160060 Santana";1;3;4;7;5;2;1;1;4;2;2;32
"160005 Serra do Navio";-;-;-;1;-;-;-;-;-;-;-;1
"170025 Abreulândia";-;-;-;-;-;2;-;-;-;-;-;2
"170030 Aguiarnópolis";-;-;-;-;-;-;1;-;-;-;-;1
"170035 Aliança do Tocantins";-;-;-;-;1;-;4;-;-;-;2;7
"170040 Almas";-;1;-;2;-;-;-;-;1;-;-;4
"170070 Alvorada";2;3;1;3;-;1;6;-;2;1;2;21
"170100 Ananás";-;-;-;-;-;-;-;-;-;-;1;1
"170105 Angico";-;-;-;-;-;-;2;-;-;-;-;2
"170110 Aparecida do Rio Negro";-;-;-;1;-;-;-;-;-;1;2;4
"170130 Aragominas";-;-;-;-;1;-;-;-;-;-;-;1
"170190 Araguacema";5;-;2;1;-;-;-;-;-;-;-;8
"170200 Araguaçu";2;1;1;-;3;-;4;-;1;-;-;12
"170210 Araguaína";17;10;7;6;15;22;12;18;9;6;9;131
"170215 Araguanã";2;-;-;1;-;-;-;-;-;-;-;3
"170220 Araguatins";1;2;4;-;2;1;3;1;-;3;1;18
"170230 Arapoema";3;1;-;-;1;-;-;-;1;-;-;6
"170240 Arraias";1;-;1;-;-;-;-;-;-;-;-;2
"170255 Augustinópolis";1;1;-;5;-;3;1;-;-;3;2;16
"170290 Axixá do Tocantins";-;-;-;-;-;1;1;-;-;1;-;3
"170300 Babaçulândia";-;-;-;-;-;3;1;-;1;-;-;5
"170305 Bandeirantes do Tocantins";-;-;-;1;-;-;-;1;-;-;-;2
"170307 Barra do Ouro";-;-;-;-;-;-;1;-;-;-;-;1
"170310 Barrolândia";-;1;1;1;-;-;-;1;-;2;1;7
"170320 Bernardo Sayão";-;-;-;-;-;-;-;-;-;1;1;2
"170330 Bom Jesus do Tocantins";1;-;-;-;-;-;1;-;-;-;1;3
"170370 Brejinho de Nazaré";3;4;1;-;-;-;-;-;-;1;-;9
"170380 Buriti do Tocantins";1;-;-;1;1;1;1;-;-;-;1;6
"170382 Cachoeirinha";-;1;-;-;-;-;-;1;1;-;-;3
"170384 Campos Lindos";1;-;-;-;2;-;-;-;-;-;-;3
"170386 Cariri do Tocantins";-;1;1;2;1;1;1;-;1;-;1;9
"170388 Carmolândia";1;-;-;-;-;-;-;-;-;-;-;1
"170390 Caseara";1;1;2;-;-;1;1;-;-;1;-;7
"170410 Centenário";-;-;1;-;-;-;-;-;-;-;-;1
"170510 Chapada da Natividade";-;2;1;1;-;1;-;-;-;-;-;5
"170550 Colinas do Tocantins";4;1;2;3;1;2;-;4;3;-;-;20
"171670 Colméia";-;1;-;1;2;1;-;-;-;-;-;5
"170555 Combinado";1;1;1;-;-;-;-;-;-;-;-;3
"170560 Conceição do Tocantins";-;-;1;-;1;-;2;-;-;1;-;5
"170600 Couto Magalhães";-;-;-;-;-;2;-;1;1;1;-;5
"170610 Cristalândia";-;2;1;-;2;-;-;-;-;1;2;8
"170625 Crixás do Tocantins";1;-;1;1;-;1;-;-;-;-;-;4
"170650 Darcinópolis";-;-;-;1;1;-;-;1;-;-;2;5
"170700 Dianópolis";2;-;4;-;1;3;1;-;1;1;4;17
"170710 Divinópolis do Tocantins";-;1;-;2;1;1;1;-;1;-;-;7
"170720 Dois Irmãos do Tocantins";1;1;-;2;-;-;-;-;-;-;-;4
"170730 Dueré";-;1;1;1;-;-;1;1;2;2;-;9
"170740 Esperantina";-;-;-;-;2;-;-;-;1;-;-;3
"170755 Fátima";2;1;1;2;1;1;1;1;-;1;1;12
"170765 Figueirópolis";-;2;-;-;2;-;-;-;-;2;-;6
"170770 Filadélfia";1;-;-;-;1;-;-;-;-;-;-;2
"170820 Formoso do Araguaia";2;2;1;10;7;4;8;3;3;6;4;50
"170825 Fortaleza do Tabocão";-;-;-;-;1;-;-;-;-;-;-;1
"170830 Goianorte";1;-;-;-;-;-;1;1;-;-;-;3
"170900 Goiatins";1;-;1;-;-;-;-;1;-;-;-;3
"170930 Guaraí";2;4;1;2;3;1;4;1;2;-;-;20
"170950 Gurupi";15;10;17;22;23;23;32;20;13;17;14;206
"170980 Ipueiras";-;-;1;-;-;-;-;-;-;-;-;1
"171050 Itacajá";-;-;-;-;-;-;-;-;2;1;-;3
"171070 Itaguatins";1;-;2;-;-;-;1;-;-;-;-;4
"171090 Itapiratins";-;-;-;1;-;-;-;-;-;-;1;2
"171110 Itaporã do Tocantins";1;-;-;1;-;-;-;-;-;-;-;2
"171150 Jaú do Tocantins";-;1;-;-;-;-;1;-;-;1;-;3
"171180 Juarina";-;-;1;-;-;-;-;-;-;-;-;1
"171190 Lagoa da Confusão";-;-;-;3;-;1;1;1;-;2;2;10
"171195 Lagoa do Tocantins";3;-;-;-;-;-;-;-;-;-;-;3
"171200 Lajeado";-;-;-;-;-;-;-;-;1;-;-;1
"171245 Luzinópolis";1;-;1;-;1;-;-;-;-;-;-;3
"171250 Marianópolis do Tocantins";-;-;-;1;-;2;-;-;-;1;-;4
"171270 Mateiros";-;-;-;-;1;-;-;-;-;-;-;1
"171280 Maurilândia do Tocantins";-;-;1;-;-;-;-;-;-;-;-;1
"171320 Miracema do Tocantins";4;1;5;1;4;2;-;1;-;2;1;21
"171330 Miranorte";-;-;1;1;-;1;1;-;-;1;-;5
"171360 Monte do Carmo";1;3;4;-;1;1;-;1;-;-;-;11
"171370 Monte Santo do Tocantins";-;-;1;-;-;-;1;-;-;-;-;2
"171395 Muricilândia";2;-;-;-;-;-;-;-;-;-;-;2
"171420 Natividade";1;1;-;1;1;-;2;-;-;-;-;6
"171430 Nazaré";-;-;-;-;1;1;1;-;-;-;-;3
"171488 Nova Olinda";1;-;-;-;1;2;-;-;1;-;-;5
"171500 Nova Rosalândia";1;-;-;-;1;-;-;-;2;-;-;4
"171510 Novo Acordo";-;-;-;-;1;-;-;2;-;1;1;5
"171515 Novo Alegre";-;-;-;-;-;-;1;-;-;-;-;1
"171525 Novo Jardim";1;-;1;-;-;-;2;-;-;-;-;4
"171550 Oliveira de Fátima";1;-;1;-;-;-;1;-;-;-;-;3
"172100 Palmas";32;29;32;26;16;28;16;6;9;23;9;226
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;-;-;1;-;-;1
"171575 Palmeirópolis";2;-;-;1;2;2;2;-;-;1;-;10
"171610 Paraíso do Tocantins";9;3;8;10;2;7;5;4;4;2;5;59
"171620 Paranã";1;1;2;-;-;1;1;-;-;1;-;7
"171630 Pau D'Arco";-;-;-;-;-;1;2;3;1;-;-;7
"171650 Pedro Afonso";-;2;-;-;-;-;-;1;-;1;1;5
"171660 Peixe";1;-;4;2;-;-;4;-;1;3;2;17
"171665 Pequizeiro";1;1;1;-;-;-;2;2;-;-;-;7
"171700 Pindorama do Tocantins";1;3;3;1;-;-;-;-;-;-;-;8
"171720 Piraquê";-;-;-;-;-;-;-;-;-;-;1;1
"171750 Pium";-;1;1;-;-;-;-;-;-;2;-;4
"171780 Ponte Alta do Bom Jesus";2;-;-;1;-;-;-;-;-;-;-;3
"171790 Ponte Alta do Tocantins";2;2;3;-;1;1;1;1;-;-;1;12
"171800 Porto Alegre do Tocantins";-;1;-;1;-;1;-;-;-;-;-;3
"171820 Porto Nacional";17;25;23;7;5;15;20;9;6;7;3;137
"171830 Praia Norte";-;-;1;1;-;2;1;-;-;-;-;5
"171845 Pugmil";-;-;-;2;-;-;1;-;-;1;-;4
"171850 Recursolândia";-;-;-;-;-;-;-;1;-;-;1;2
"171855 Riachinho";1;-;-;-;-;-;-;-;-;-;-;1
"171865 Rio da Conceição";-;-;1;-;-;-;-;1;-;-;-;2
"171870 Rio dos Bois";-;-;-;-;-;-;-;-;1;-;-;1
"171875 Rio Sono";-;-;-;1;2;-;-;-;-;-;-;3
"171880 Sampaio";-;-;-;1;-;-;-;-;2;-;-;3
"171884 Sandolândia";1;1;-;-;1;-;-;-;-;1;-;4
"171886 Santa Fé do Araguaia";-;-;-;1;1;1;1;-;-;-;-;4
